scorer,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000
bodyparts,woodL,woodL,woodL,woodR,woodR,woodR,neck,neck,neck
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,330.75140380859375,294.7717590332031,0.9996036887168884,578.7396850585938,292.20648193359375,0.9999667406082153,586.5772094726562,278.70599365234375,0.0027808560989797115
1,330.8254089355469,294.7717590332031,0.999600350856781,578.7445068359375,292.20648193359375,0.9999641180038452,586.5968627929688,278.7689208984375,0.002808432560414076
2,330.8254089355469,294.7717590332031,0.9996163845062256,578.7445068359375,292.20648193359375,0.9999657869338989,586.5968627929688,278.7991027832031,0.0026851361617445946
3,330.8254089355469,294.7789306640625,0.9996291399002075,578.7445068359375,292.1964416503906,0.9999648332595825,586.596923828125,278.773193359375,0.0026715800631791353
4,330.7549743652344,294.7789306640625,0.9996455907821655,578.7445068359375,292.1964416503906,0.999964714050293,586.596923828125,278.773193359375,0.0027306668926030397
5,330.7549743652344,294.82257080078125,0.9995948672294617,578.7139892578125,292.1810607910156,0.9999650716781616,586.596923828125,278.773193359375,0.00281514716334641
6,330.7549743652344,294.82257080078125,0.9995811581611633,578.7139892578125,292.19158935546875,0.9999662637710571,586.596923828125,278.773193359375,0.0028289305046200752
7,330.7936096191406,294.82257080078125,0.9995974898338318,578.7139892578125,292.19158935546875,0.9999654293060303,586.6266479492188,278.72259521484375,0.0027374650817364454
8,330.7943115234375,294.82257080078125,0.9996479749679565,578.710205078125,292.19158935546875,0.9999666213989258,586.6266479492188,278.72259521484375,0.002698947209864855
9,330.7943115234375,294.7633361816406,0.9996477365493774,578.710205078125,292.19158935546875,0.9999659061431885,586.6289672851562,278.72259521484375,0.0027348226867616177
10,330.7936096191406,294.6746520996094,0.9996131062507629,578.710205078125,292.19158935546875,0.9999672174453735,586.6293334960938,278.72259521484375,0.002818767447024584
11,330.7522888183594,294.6746520996094,0.9996022582054138,578.710205078125,292.13348388671875,0.9999663829803467,586.6539916992188,278.70513916015625,0.0027757275383919477
12,330.74237060546875,294.7633361816406,0.9996160268783569,578.710205078125,292.1791687011719,0.9999657869338989,586.6663208007812,278.68963623046875,0.0027275909669697285
13,330.6701965332031,294.7633361816406,0.9996415376663208,578.6823120117188,292.1717529296875,0.9999662637710571,586.6663208007812,278.6873474121094,0.0026730771642178297
14,330.74237060546875,294.7919616699219,0.9995611310005188,578.6823120117188,292.1568908691406,0.9999657869338989,586.6777954101562,278.6565856933594,0.0028792156372219324
15,330.6642150878906,294.7919616699219,0.9995782971382141,578.6823120117188,292.1568908691406,0.9999680519104004,586.6819458007812,278.6565856933594,0.0028523795772343874
16,330.627197265625,294.7919616699219,0.9995889067649841,578.6724243164062,292.1568908691406,0.9999678134918213,586.6819458007812,278.62664794921875,0.002724152058362961
17,330.6642150878906,294.7919616699219,0.9996115565299988,578.6724243164062,292.1568908691406,0.9999679327011108,586.6987915039062,278.6206359863281,0.0026558644603937864
18,330.6981506347656,294.7919616699219,0.9995995163917542,578.7027587890625,292.1568908691406,0.9999690055847168,586.6987915039062,278.612548828125,0.002734851324930787
19,330.6981506347656,294.78472900390625,0.9995859265327454,578.7318115234375,292.1441955566406,0.9999693632125854,586.7213134765625,278.6070251464844,0.0027770770248025656
20,330.7485046386719,294.78472900390625,0.9995936751365662,578.7440795898438,292.1441955566406,0.999968409538269,586.7213134765625,278.6070251464844,0.0026463682297617197
21,330.7485046386719,294.76361083984375,0.9996297359466553,578.752197265625,292.1703186035156,0.999968409538269,586.7244262695312,278.60467529296875,0.0026644431054592133
22,330.7485046386719,294.76361083984375,0.9996383190155029,578.7440795898438,292.1703186035156,0.9999700784683228,586.7244262695312,278.5899353027344,0.002547516254708171
23,330.7485046386719,294.76361083984375,0.9996308088302612,578.735107421875,292.1703186035156,0.9999706745147705,586.7506713867188,278.5556640625,0.0025579275097697973
24,330.7847900390625,294.7428894042969,0.9995831847190857,578.735107421875,292.1703186035156,0.9999690055847168,586.7553100585938,278.5466613769531,0.002828201511874795
25,330.8013610839844,294.7428894042969,0.9996086955070496,578.735107421875,292.1703186035156,0.9999690055847168,586.7506713867188,278.5556640625,0.0027525299228727818
26,330.84002685546875,294.6986999511719,0.9996484518051147,578.735107421875,292.0469970703125,0.9999680519104004,586.6887817382812,278.5899353027344,0.002457802416756749
27,330.8710021972656,294.6986999511719,0.999663233757019,578.7603759765625,292.0469970703125,0.9999700784683228,570.7767944335938,299.7858581542969,0.0024700802750885487
28,330.8710021972656,294.6986999511719,0.9996438026428223,578.7611694335938,292.0469970703125,0.9999711513519287,570.7767944335938,299.7858581542969,0.0024979738518595695
29,330.84002685546875,294.695556640625,0.9995951056480408,578.7767333984375,292.03021240234375,0.9999710321426392,570.7767944335938,299.7858581542969,0.0026120238471776247
30,330.8251647949219,294.695556640625,0.9995811581611633,578.7831420898438,292.03021240234375,0.9999727010726929,570.8692016601562,299.7097473144531,0.002656728494912386
31,330.8251647949219,294.7090759277344,0.9996346235275269,578.8053588867188,291.9458312988281,0.9999741315841675,570.9134521484375,299.6964416503906,0.002592092379927635
32,330.8251647949219,294.7090759277344,0.9996402263641357,578.8306884765625,291.9458312988281,0.999974250793457,571.0281982421875,299.5905456542969,0.0026570039335638285
33,330.8482666015625,294.7090759277344,0.9996242523193359,578.878173828125,291.9390563964844,0.999975323677063,571.0864868164062,299.48150634765625,0.002627910813316703
34,330.8912048339844,294.7090759277344,0.999579131603241,578.8972778320312,291.90582275390625,0.9999752044677734,571.1221313476562,299.3985290527344,0.002572606084868312
35,330.9014587402344,294.7090759277344,0.9996007084846497,578.8977661132812,291.90582275390625,0.9999752044677734,571.1381225585938,299.3773193359375,0.0026077106595039368
36,330.8912048339844,294.77618408203125,0.9996445178985596,578.8977661132812,291.8702697753906,0.9999769926071167,571.1608276367188,299.3515625,0.002525309333577752
37,330.9192810058594,294.77618408203125,0.99964439868927,578.8972778320312,291.8702697753906,0.9999771118164062,571.2531127929688,299.3220520019531,0.0024764954578131437
38,330.9192810058594,294.77618408203125,0.9996122717857361,578.866943359375,291.8702697753906,0.9999755620956421,571.40234375,299.3096008300781,0.0023619348648935556
39,330.9289855957031,294.77618408203125,0.9996011853218079,578.8631591796875,291.8919982910156,0.9999756813049316,571.4030151367188,299.30291748046875,0.002334299497306347
40,330.9562072753906,294.77618408203125,0.9996005892753601,578.8356323242188,291.8919982910156,0.9999741315841675,571.5178833007812,299.30291748046875,0.0023098124656826258
41,330.96917724609375,294.7283020019531,0.9996275901794434,578.8356323242188,291.8925476074219,0.9999755620956421,571.560302734375,299.3096008300781,0.0022455095313489437
42,330.9562072753906,294.71868896484375,0.9996603727340698,578.7694702148438,291.8925476074219,0.999974250793457,588.3223266601562,300.5343322753906,0.0024014851078391075
43,330.9289855957031,294.7144775390625,0.9996324777603149,578.7652587890625,292.01556396484375,0.9999725818634033,588.3694458007812,300.5343322753906,0.0024884913582354784
44,330.94268798828125,294.7003173828125,0.9996269941329956,578.7652587890625,292.0267028808594,0.9999736547470093,588.43408203125,300.5343322753906,0.0025598101783543825
45,330.8792724609375,294.7144775390625,0.9996370077133179,578.7601318359375,292.0267028808594,0.9999740123748779,588.4617919921875,300.5014953613281,0.0026287368964403868
46,330.8792724609375,294.7144775390625,0.9996389150619507,578.734619140625,292.0282897949219,0.9999724626541138,588.5260620117188,300.4783020019531,0.002709190594032407
