scorer,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000
bodyparts,woodL,woodL,woodL,woodR,woodR,woodR,neck,neck,neck
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,330.5448913574219,296.0762023925781,0.9997912049293518,578.2849731445312,293.6775817871094,0.9999783039093018,923.719970703125,46.79823303222656,0.052371107041835785
1,330.6785888671875,296.1865539550781,0.9997734427452087,578.307373046875,293.6775817871094,0.9999779462814331,925.4728393554688,49.345970153808594,0.03548504039645195
2,330.6809387207031,296.1865539550781,0.9997619986534119,578.3394775390625,293.6775817871094,0.9999784231185913,926.098876953125,54.207237243652344,0.09527510404586792
3,330.6785888671875,296.1865539550781,0.9997918009757996,578.307373046875,293.6595153808594,0.9999790191650391,926.657470703125,56.35558319091797,0.3763487637042999
4,330.6809387207031,296.1865539550781,0.9997971653938293,578.3394775390625,293.6595153808594,0.9999796152114868,931.3486938476562,64.46175384521484,0.37237879633903503
5,330.7161560058594,296.1865539550781,0.9997925162315369,578.3883666992188,293.6595153808594,0.9999793767929077,932.5518188476562,68.54852294921875,0.2665337324142456
6,330.6809387207031,296.2391052246094,0.999775230884552,578.3394775390625,293.59381103515625,0.9999791383743286,935.722900390625,71.00606536865234,0.12317202240228653
7,330.6790771484375,296.2391052246094,0.999778687953949,578.2759399414062,293.59381103515625,0.9999785423278809,940.4334106445312,72.34193420410156,0.057725775986909866
8,330.7161560058594,296.2391052246094,0.9997825026512146,578.3253784179688,293.59381103515625,0.9999793767929077,942.7811889648438,74.94426727294922,0.005877119954675436
9,330.6790771484375,296.2391052246094,0.9997971653938293,578.2759399414062,293.59381103515625,0.9999796152114868,950.5942993164062,75.83544921875,0.011173904873430729
10,330.6001281738281,296.2391052246094,0.9997861981391907,578.274169921875,293.59381103515625,0.999980092048645,963.4923706054688,79.10992431640625,0.25433579087257385
11,330.6790771484375,296.2025451660156,0.9997705817222595,578.2759399414062,293.5842590332031,0.9999793767929077,963.4923706054688,80.91541290283203,0.4473458528518677
12,330.70477294921875,296.2025451660156,0.9997783303260803,578.2779541015625,293.5842590332031,0.9999790191650391,964.7845458984375,83.82240295410156,0.34982845187187195
13,330.63763427734375,296.2025451660156,0.9997881054878235,578.235595703125,293.5842590332031,0.9999798536300659,967.71875,89.10897827148438,0.08915724605321884
14,330.70477294921875,296.2025451660156,0.9997978806495667,578.2779541015625,293.5842590332031,0.9999798536300659,967.71875,93.0039291381836,0.12472686171531677
15,330.7240295410156,296.2025451660156,0.999786913394928,578.2779541015625,293.5783386230469,0.9999797344207764,976.81494140625,93.14427947998047,0.2410108745098114
16,330.70477294921875,296.1712341308594,0.9997884631156921,578.2767944335938,293.53436279296875,0.9999788999557495,976.8599853515625,96.28669738769531,0.481996089220047
17,330.68994140625,296.1712341308594,0.999775230884552,578.2726440429688,293.53436279296875,0.9999791383743286,977.2935180664062,99.4595947265625,0.8407052159309387
18,330.7240295410156,296.2625732421875,0.999790370464325,578.2767944335938,293.5498046875,0.9999796152114868,977.9695434570312,102.40547943115234,0.8478402495384216
19,330.75152587890625,296.2211608886719,0.9997864365577698,578.2767944335938,293.5498046875,0.9999803304672241,977.9695434570312,105.6423568725586,0.7682837843894958
20,330.68994140625,296.216552734375,0.9997819066047668,578.2827758789062,293.5498046875,0.9999799728393555,980.1831665039062,109.52081298828125,0.8466014266014099
21,330.68994140625,296.216552734375,0.9997895359992981,578.2827758789062,293.5498046875,0.9999788999557495,982.0948486328125,112.73847198486328,0.7244434952735901
22,330.66864013671875,296.216552734375,0.9997894167900085,578.2827758789062,293.5498046875,0.9999796152114868,982.6654052734375,113.20304107666016,0.5410141944885254
23,330.6681823730469,296.216552734375,0.9997816681861877,578.2242431640625,293.5733642578125,0.9999799728393555,986.5499877929688,115.82478332519531,0.49899956583976746
24,330.6681823730469,296.1796875,0.9997771382331848,578.2242431640625,293.5733642578125,0.9999796152114868,987.1981811523438,120.66468811035156,0.6375070214271545
25,330.66864013671875,296.1645202636719,0.999778687953949,578.2242431640625,293.5399475097656,0.9999788999557495,991.8088989257812,120.87926483154297,0.5988679528236389
26,330.6244201660156,296.1710205078125,0.9997929930686951,578.2233276367188,293.5399475097656,0.9999796152114868,995.539306640625,124.23868560791016,0.8436612486839294
27,330.6244201660156,296.1710205078125,0.9997871518135071,578.2233276367188,293.5733642578125,0.9999793767929077,996.702880859375,125.916259765625,0.9275840520858765
28,330.6884765625,296.1710205078125,0.9997883439064026,578.2551879882812,293.5838317871094,0.9999797344207764,1001.8833618164062,127.86780548095703,0.6294598579406738
29,330.6884765625,296.1710205078125,0.9997770190238953,578.2551879882812,293.5564880371094,0.9999786615371704,1002.567138671875,130.05043029785156,0.8313708901405334
30,330.6884765625,296.1710205078125,0.9997794032096863,578.2551879882812,293.5564880371094,0.9999799728393555,1003.6510620117188,131.5009765625,0.7265572547912598
31,330.7016296386719,296.1702880859375,0.9997970461845398,578.263916015625,293.5838317871094,0.9999792575836182,1005.8829345703125,133.79750061035156,0.6798067688941956
32,330.7016296386719,296.1702880859375,0.9997947812080383,578.263916015625,293.5838317871094,0.9999799728393555,1007.4002075195312,136.83905029296875,0.7092633843421936
33,330.7016296386719,296.1702880859375,0.9997839331626892,578.263916015625,293.59173583984375,0.9999793767929077,1010.15185546875,140.69728088378906,0.9309101104736328
34,330.7016296386719,296.1702880859375,0.9997720122337341,578.2796630859375,293.59173583984375,0.9999781847000122,1010.6165161132812,143.21612548828125,0.9512374997138977
35,330.7016296386719,296.1702880859375,0.9997784495353699,578.3048095703125,293.59173583984375,0.9999792575836182,1010.711181640625,145.23980712890625,0.9655504822731018
36,330.6385803222656,296.1748352050781,0.9997860789299011,578.2581176757812,293.5556640625,0.9999805688858032,1010.7128295898438,147.24490356445312,0.9779234528541565
37,330.6775207519531,296.1748352050781,0.9997912049293518,578.3079833984375,293.5556640625,0.9999804496765137,1010.711181640625,150.28909301757812,0.9484949707984924
38,330.7124328613281,296.1748352050781,0.9997755885124207,578.3101196289062,293.5556640625,0.9999796152114868,1010.7128295898438,151.5150604248047,0.8957625031471252
39,330.6775207519531,296.1748352050781,0.9997710585594177,578.3079833984375,293.5555419921875,0.9999791383743286,1011.880615234375,151.80970764160156,0.9135901927947998
40,330.5941162109375,296.1748352050781,0.9997758269309998,578.2840576171875,293.5555419921875,0.9999797344207764,1012.4699096679688,152.1381072998047,0.8994227051734924
41,330.6380920410156,296.1732482910156,0.9997881054878235,578.2840576171875,293.57305908203125,0.9999803304672241,1023.5221557617188,153.39840698242188,0.8902565836906433
42,330.6380920410156,296.1732482910156,0.9997945427894592,578.2840576171875,293.57305908203125,0.9999810457229614,1023.5752563476562,156.66455078125,0.9084678888320923
43,330.5941162109375,296.1732482910156,0.9997788071632385,578.266357421875,293.57305908203125,0.999980092048645,1025.0616455078125,160.4292449951172,0.909460186958313
44,330.6380920410156,296.18731689453125,0.9997709393501282,578.266357421875,293.6047058105469,0.9999802112579346,1025.0616455078125,163.27891540527344,0.8901484608650208
45,330.6837158203125,296.18731689453125,0.9997795224189758,578.266357421875,293.6047058105469,0.9999799728393555,1025.4736328125,167.00634765625,0.5873616337776184
46,330.6837158203125,296.18731689453125,0.9997950196266174,578.2780151367188,293.6047058105469,0.9999803304672241,1025.7000732421875,172.7783203125,0.9060859680175781
