scorer,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000
bodyparts,woodL,woodL,woodL,woodR,woodR,woodR,neck,neck,neck
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,330.3631896972656,296.4006042480469,0.9997217059135437,578.2806396484375,293.5145263671875,0.9999841451644897,586.7651977539062,278.38812255859375,0.004244004841893911
1,330.38671875,296.5693359375,0.9997290968894958,578.2806396484375,293.555908203125,0.9999841451644897,586.7651977539062,278.3899841308594,0.004189154598861933
2,330.3882141113281,296.5737609863281,0.9997192025184631,578.2886352539062,293.5592956542969,0.9999843835830688,586.7651977539062,278.39788818359375,0.004205517470836639
3,330.3882141113281,296.5969543457031,0.9997093081474304,578.2886352539062,293.5892639160156,0.9999834299087524,586.7559204101562,278.3899841308594,0.00419442355632782
4,330.3882141113281,296.5969543457031,0.9997162222862244,578.3013305664062,293.5892639160156,0.999983549118042,586.7559204101562,278.3924560546875,0.004179405048489571
5,330.42535400390625,296.5969543457031,0.9997127652168274,578.3013305664062,293.5892639160156,0.9999840259552002,586.7559204101562,278.39788818359375,0.004156613256782293
6,330.4339599609375,296.5969543457031,0.9997268319129944,578.3021240234375,293.5892639160156,0.9999843835830688,586.7648315429688,278.3983459472656,0.004190782085061073
7,330.5196228027344,296.5689697265625,0.999715268611908,578.3812255859375,293.5892639160156,0.9999836683273315,586.81103515625,278.40673828125,0.004175211768597364
8,330.55755615234375,296.5456237792969,0.9997172951698303,578.4026489257812,293.59320068359375,0.9999840259552002,586.8128051757812,278.41241455078125,0.004044092260301113
9,330.6289978027344,296.5456237792969,0.9997245669364929,578.4187622070312,293.59320068359375,0.9999834299087524,586.8366088867188,278.41241455078125,0.00416280934587121
10,330.6808776855469,296.5689697265625,0.9997373223304749,578.4520263671875,293.6233215332031,0.9999841451644897,586.8505859375,278.41790771484375,0.0040621161460876465
11,330.7120666503906,296.5466613769531,0.9997355341911316,578.47412109375,293.60626220703125,0.9999843835830688,586.865234375,278.41790771484375,0.004010805394500494
12,330.74945068359375,296.5441589355469,0.9997307658195496,578.477783203125,293.5962829589844,0.9999839067459106,586.8660278320312,278.4150085449219,0.004092255607247353
13,330.7518005371094,296.5441589355469,0.9997318387031555,578.4898071289062,293.5962829589844,0.9999842643737793,586.8724975585938,278.4129333496094,0.0040067085064947605
14,330.7518005371094,296.5466613769531,0.9997395873069763,578.4885864257812,293.60626220703125,0.9999843835830688,586.8724975585938,278.4129333496094,0.003996455110609531
15,330.7518005371094,296.5466613769531,0.9997333884239197,578.4885864257812,293.60626220703125,0.9999845027923584,586.8724975585938,278.4110412597656,0.004045275505632162
16,330.73468017578125,296.5646057128906,0.9997245669364929,578.4885864257812,293.5962829589844,0.9999845027923584,586.8724975585938,278.4103698730469,0.003996146377176046
17,330.73431396484375,296.5646057128906,0.9997232556343079,578.4573974609375,293.5937194824219,0.9999842643737793,586.8687133789062,278.4103698730469,0.004061431158334017
18,330.6625671386719,296.5646057128906,0.9997307658195496,578.4501953125,293.5937194824219,0.9999839067459106,586.8262939453125,278.4103698730469,0.004022898152470589
19,330.5922546386719,296.5664367675781,0.9997171759605408,578.3948974609375,293.5937194824219,0.9999840259552002,586.8231201171875,278.3975830078125,0.004146473947912455
20,330.5606384277344,296.5664367675781,0.9997214674949646,578.3941650390625,293.5937194824219,0.999984622001648,586.8008422851562,278.4103698730469,0.004164941143244505
21,330.5244445800781,296.5993957519531,0.999716579914093,578.3611450195312,293.6134948730469,0.9999841451644897,586.7955932617188,278.41082763671875,0.004205751232802868
22,330.49505615234375,296.5993957519531,0.9997106194496155,578.3394165039062,293.6134948730469,0.9999831914901733,586.7671508789062,278.3975830078125,0.004169090185314417
23,330.4580078125,296.5993957519531,0.9997097849845886,578.3104248046875,293.6134948730469,0.9999834299087524,586.7671508789062,278.399169921875,0.0041892980225384235
24,330.43231201171875,296.642822265625,0.9997220635414124,578.2992553710938,293.6298522949219,0.9999843835830688,586.766845703125,278.399169921875,0.004170860163867474
25,330.4300537109375,296.6281433105469,0.9997236132621765,578.2989501953125,293.6243896484375,0.9999845027923584,586.7598266601562,278.399169921875,0.004189448896795511
26,330.4222717285156,296.6110534667969,0.9997113347053528,578.2989501953125,293.6243896484375,0.9999839067459106,586.7545776367188,278.399169921875,0.004166691564023495
27,330.4222717285156,296.6110534667969,0.9997170567512512,578.2989501953125,293.6243896484375,0.9999825954437256,586.7545776367188,278.399169921875,0.004214977379888296
28,330.43231201171875,296.6110534667969,0.9997060894966125,578.2989501953125,293.6243896484375,0.999983549118042,586.7545776367188,278.4052734375,0.004204377066344023
29,330.46783447265625,296.6089172363281,0.9997231364250183,578.3308715820312,293.6243896484375,0.9999842643737793,586.7817993164062,278.411376953125,0.00410922896116972
30,330.50482177734375,296.5578918457031,0.9997300505638123,578.3403930664062,293.61785888671875,0.9999840259552002,586.7888793945312,278.4052734375,0.004097498022019863
31,330.5198059082031,296.54290771484375,0.9997194409370422,578.3512573242188,293.61785888671875,0.9999840259552002,586.7913818359375,278.4009704589844,0.004109127447009087
32,330.5346374511719,296.54290771484375,0.9997242093086243,578.3771362304688,293.61785888671875,0.9999841451644897,586.8052368164062,278.41156005859375,0.004142233170568943
33,330.59405517578125,296.54290771484375,0.9997147917747498,578.3853149414062,293.60919189453125,0.9999841451644897,586.8175048828125,278.40716552734375,0.004121857695281506
34,330.6195983886719,296.54290771484375,0.9997333884239197,578.3959350585938,293.60919189453125,0.9999836683273315,586.8348999023438,278.40716552734375,0.004104573279619217
35,330.6750793457031,296.54290771484375,0.9997360110282898,578.4194946289062,293.623046875,0.9999836683273315,586.8411254882812,278.4256591796875,0.004037231672555208
36,330.6750793457031,296.5267028808594,0.9997320771217346,578.4208374023438,293.6060791015625,0.9999837875366211,586.8458251953125,278.4263916015625,0.003993640188127756
37,330.715576171875,296.5267028808594,0.9997177720069885,578.4400634765625,293.6060791015625,0.9999837875366211,586.8486938476562,278.43597412109375,0.003952761180698872
38,330.7610168457031,296.5166931152344,0.9997377991676331,578.4633178710938,293.618896484375,0.9999833106994629,586.8582153320312,278.43780517578125,0.004025346599519253
39,330.74884033203125,296.475341796875,0.9997552037239075,578.4412841796875,293.618896484375,0.9999834299087524,586.8486938476562,278.4580993652344,0.003966376651078463
40,330.74884033203125,296.4742431640625,0.9997473359107971,578.4412841796875,293.618896484375,0.999983549118042,586.8486938476562,278.46783447265625,0.0039550671353936195
41,330.74884033203125,296.4652099609375,0.9997453093528748,578.4412841796875,293.618896484375,0.9999831914901733,586.86181640625,278.4721374511719,0.00399016635492444
42,330.72564697265625,296.4652099609375,0.9997488856315613,578.431640625,293.6275329589844,0.9999827146530151,586.833740234375,278.48382568359375,0.003957478329539299
43,330.69769287109375,296.4652099609375,0.9997459053993225,578.400390625,293.63653564453125,0.9999831914901733,586.8280029296875,278.5023498535156,0.003896930254995823
44,330.6321716308594,296.424072265625,0.9997414946556091,578.3877563476562,293.63653564453125,0.9999825954437256,586.833740234375,278.5166320800781,0.003992902114987373
45,330.62628173828125,296.41912841796875,0.999739944934845,578.3494873046875,293.63653564453125,0.9999825954437256,586.808837890625,278.51934814453125,0.003964459523558617
46,330.60772705078125,296.4151611328125,0.9997557997703552,578.3458862304688,293.63653564453125,0.9999823570251465,586.8063354492188,278.5166320800781,0.00387170584872365
