scorer,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000
bodyparts,woodL,woodL,woodL,woodR,woodR,woodR,neck,neck,neck
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,331.0122985839844,295.7359924316406,0.999797523021698,577.6597290039062,293.2392578125,0.9999525547027588,335.71099853515625,302.7518615722656,0.003577583469450474
1,331.0600891113281,295.7431335449219,0.9997926354408264,577.6673583984375,293.4139404296875,0.999954342842102,335.74114990234375,302.7518615722656,0.0037365721073001623
2,331.0600891113281,295.78753662109375,0.9998058676719666,577.6673583984375,293.4349670410156,0.9999562501907349,335.81512451171875,302.7518615722656,0.0037257787771523
3,331.0122985839844,295.84649658203125,0.9998015761375427,577.6597290039062,293.5161437988281,0.9999579191207886,335.8576354980469,302.68994140625,0.003715633414685726
4,331.0122985839844,295.9267883300781,0.9998095631599426,577.6597290039062,293.5161437988281,0.9999586343765259,335.9538269042969,302.65423583984375,0.0036512394435703754
5,331.04071044921875,295.9994201660156,0.9998095631599426,577.6673583984375,293.5161437988281,0.9999618530273438,336.0186767578125,302.5680847167969,0.0036577812861651182
6,331.04071044921875,296.0424499511719,0.9997969269752502,577.683837890625,293.41534423828125,0.9999642372131348,336.01904296875,302.5503234863281,0.0038077556528151035
7,331.04071044921875,296.04632568359375,0.9998181462287903,577.7211303710938,293.29132080078125,0.9999666213989258,336.0220642089844,302.5282897949219,0.003659315872937441
8,331.04071044921875,296.05242919921875,0.9998263716697693,577.72216796875,293.1521301269531,0.9999675750732422,336.0657958984375,302.5269775390625,0.003568775486201048
9,331.0074768066406,296.05670166015625,0.9998094439506531,577.734619140625,293.0129699707031,0.9999706745147705,336.07354736328125,302.48565673828125,0.0037596921902149916
10,330.9981384277344,296.05792236328125,0.9998136162757874,577.7467651367188,292.9978332519531,0.9999706745147705,336.1253662109375,302.4338073730469,0.0037275722716003656
11,330.9975280761719,296.09722900390625,0.9998151659965515,577.7476806640625,292.9518737792969,0.9999738931655884,336.1290588378906,302.4110412597656,0.0038166979793459177
12,330.9906005859375,296.18060302734375,0.9998136162757874,577.8120727539062,292.9518737792969,0.9999737739562988,336.18267822265625,302.3861083984375,0.003719914238899946
13,330.9613342285156,296.18060302734375,0.9998094439506531,577.8448486328125,292.9518737792969,0.9999752044677734,336.2172546386719,302.3603210449219,0.00368364155292511
14,330.897705078125,296.18060302734375,0.9998125433921814,577.86474609375,292.981201171875,0.9999744892120361,336.23944091796875,302.3603210449219,0.0037190821021795273
15,330.8859558105469,296.1795349121094,0.9998056292533875,577.87109375,293.035888671875,0.9999744892120361,336.23944091796875,302.3603210449219,0.003828915534541011
16,330.8711242675781,296.152587890625,0.9998112320899963,577.9642333984375,293.160400390625,0.9999750852584839,336.220947265625,302.3607177734375,0.003718682797625661
17,330.8859558105469,296.1519775390625,0.9998007416725159,578.017333984375,293.27911376953125,0.9999738931655884,336.2172546386719,302.3757019042969,0.003731174161657691
18,330.8859558105469,296.10882568359375,0.9998027682304382,578.08984375,293.34710693359375,0.9999732971191406,336.2005310058594,302.385498046875,0.0037718999665230513
19,330.8711242675781,296.10882568359375,0.9998074173927307,578.193603515625,293.4000244140625,0.9999736547470093,336.2005310058594,302.385498046875,0.003692668629810214
20,330.8595275878906,296.10882568359375,0.999788224697113,578.2604370117188,293.5297546386719,0.9999725818634033,336.18072509765625,302.385498046875,0.0038874277379363775
21,330.82421875,296.082763671875,0.9997825026512146,578.2681884765625,293.647705078125,0.9999712705612183,336.1748962402344,302.38677978515625,0.0038436336908489466
22,330.8162536621094,296.0374450683594,0.9997785687446594,578.2705688476562,293.7037658691406,0.9999697208404541,336.1748962402344,302.38323974609375,0.0038315807469189167
23,330.8162536621094,296.0374450683594,0.9997785687446594,578.3535766601562,293.737060546875,0.9999701976776123,336.20281982421875,302.3626708984375,0.0038574410136789083
24,330.82421875,296.0374450683594,0.9997884631156921,578.3743896484375,293.7396545410156,0.9999710321426392,586.628662109375,278.8212890625,0.0038145952858030796
25,330.82421875,296.0374450683594,0.9997864365577698,578.4036254882812,293.758056640625,0.999971866607666,586.63525390625,278.7999267578125,0.0045847040601074696
26,330.82415771484375,296.0619812011719,0.9997851252555847,578.4036254882812,293.8055419921875,0.9999717473983765,586.63525390625,278.76123046875,0.003867601277306676
27,330.82415771484375,296.0619812011719,0.999777615070343,578.4036254882812,293.8055419921875,0.9999728202819824,586.628662109375,278.75701904296875,0.003934196196496487
28,330.82415771484375,296.0619812011719,0.9997730851173401,578.3820190429688,293.8055419921875,0.9999728202819824,586.6067504882812,278.75701904296875,0.00399062130600214
29,330.82415771484375,296.0823669433594,0.9997822642326355,578.3820190429688,293.7956237792969,0.999975323677063,586.6067504882812,278.730712890625,0.004134146962314844
30,330.86065673828125,296.07269287109375,0.9997790455818176,578.3820190429688,293.7769470214844,0.9999758005142212,586.6067504882812,278.72882080078125,0.0040460326708853245
31,330.86065673828125,296.04803466796875,0.9997801184654236,578.388671875,293.75360107421875,0.9999762773513794,586.6334228515625,278.7166442871094,0.00404505617916584
32,330.86065673828125,296.04803466796875,0.9997715353965759,578.388671875,293.75360107421875,0.999976396560669,586.6473388671875,278.6969299316406,0.004058066755533218
33,330.84564208984375,296.04803466796875,0.9997867941856384,578.388671875,293.7281188964844,0.999976396560669,586.6473388671875,278.69580078125,0.004046435933560133
34,330.8192443847656,296.04803466796875,0.9997876286506653,578.3696899414062,293.7047119140625,0.9999769926071167,586.6435546875,278.69451904296875,0.004170767031610012
35,330.8192443847656,296.04803466796875,0.9997960925102234,578.3696899414062,293.7047119140625,0.9999768733978271,586.6473388671875,278.6891174316406,0.004106021951884031
36,330.8077697753906,296.07965087890625,0.9997830986976624,578.3696899414062,293.6842346191406,0.9999772310256958,586.6505126953125,278.6891174316406,0.004098623059689999
37,330.8077697753906,296.07965087890625,0.9997856020927429,578.37060546875,293.6842346191406,0.9999771118164062,586.6505126953125,278.6891174316406,0.0040406882762908936
38,330.8128356933594,296.07965087890625,0.9997715353965759,578.388916015625,293.6842346191406,0.9999771118164062,586.6737060546875,278.6891174316406,0.004052047152072191
39,330.8215026855469,296.041259765625,0.9997898936271667,578.3894653320312,293.6601257324219,0.9999772310256958,586.6737060546875,278.6891174316406,0.004098440054804087
40,330.8128356933594,296.041259765625,0.9997792840003967,578.3894653320312,293.6601257324219,0.99997878074646,586.6737060546875,278.6768493652344,0.0041566938161849976
41,330.8128356933594,296.041259765625,0.9997798800468445,578.3894653320312,293.6601257324219,0.9999779462814331,586.6680908203125,278.664306640625,0.004162951372563839
42,330.8215026855469,296.041259765625,0.9997753500938416,578.3861083984375,293.6601257324219,0.9999781847000122,586.651123046875,278.65814208984375,0.004174004774540663
43,330.8215026855469,296.054931640625,0.99978107213974,578.3861083984375,293.66436767578125,0.9999774694442749,586.651123046875,278.6574401855469,0.004153150599449873
44,330.82440185546875,296.08990478515625,0.9997822642326355,578.3861083984375,293.67938232421875,0.9999781847000122,586.651123046875,278.6264953613281,0.004226956982165575
45,330.82440185546875,296.0636291503906,0.9997722506523132,578.4053955078125,293.67938232421875,0.9999784231185913,586.6578369140625,278.6264953613281,0.00411630654707551
46,330.82440185546875,296.0636291503906,0.9997797608375549,578.4053955078125,293.6587829589844,0.9999790191650391,586.6578369140625,278.6252136230469,0.00411064550280571
