scorer,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000,DLC_resnet50_smallpole_singlelimbFeb10shuffle1_400000
bodyparts,woodL,woodL,woodL,woodR,woodR,woodR,neck,neck,neck
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,330.9901428222656,295.4933776855469,0.9998039603233337,578.5191040039062,293.72021484375,0.9999853372573853,335.7441711425781,302.8690185546875,0.003406369127333164
1,330.9901428222656,295.5569763183594,0.999799907207489,578.5191040039062,293.8396911621094,0.9999843835830688,335.7776184082031,302.8690185546875,0.003426316659897566
2,330.9901428222656,295.59112548828125,0.9997920393943787,578.5191040039062,293.94940185546875,0.9999834299087524,335.7784729003906,302.8690185546875,0.003443450201302767
3,330.9103698730469,295.6170959472656,0.999782383441925,578.5068359375,293.94940185546875,0.9999831914901733,335.9256896972656,302.7590026855469,0.0033973692916333675
4,330.9103698730469,295.6170959472656,0.9997851252555847,578.5036010742188,293.94940185546875,0.9999823570251465,335.9323425292969,302.7506408691406,0.003424703609198332
5,330.90869140625,295.6519775390625,0.9998078942298889,578.4465942382812,293.9485778808594,0.9999804496765137,586.6443481445312,278.6011657714844,0.003508426249027252
6,330.90869140625,295.6519775390625,0.9998117089271545,578.4369506835938,293.9485778808594,0.9999788999557495,586.6443481445312,278.6011657714844,0.003692168975248933
7,330.90869140625,295.6519775390625,0.9997953772544861,578.4369506835938,293.9485778808594,0.9999735355377197,586.687744140625,278.6011657714844,0.0038326550275087357
8,330.84234619140625,295.6519775390625,0.9997883439064026,578.363525390625,294.0765686035156,0.9999673366546631,586.687744140625,278.70098876953125,0.0037659364752471447
9,330.8195495605469,295.6519775390625,0.9998001456260681,578.363525390625,294.0868225097656,0.9999631643295288,586.6443481445312,278.9026184082031,0.0038104625418782234
10,330.8195495605469,295.6815185546875,0.9998064637184143,578.363525390625,294.1718444824219,0.9999597072601318,586.6087036132812,279.0614013671875,0.0037534181028604507
11,330.84234619140625,295.6815185546875,0.9998143315315247,578.4003295898438,294.20257568359375,0.9999562501907349,335.8822937011719,302.87646484375,0.003566803876310587
12,330.84234619140625,295.6815185546875,0.9998087286949158,578.4729614257812,294.4028015136719,0.9999523162841797,335.8822937011719,302.87646484375,0.003227114910259843
13,330.85986328125,295.6815185546875,0.9997939467430115,578.4920654296875,294.4028015136719,0.9999514818191528,335.84893798828125,302.87646484375,0.003243647050112486
14,330.8683166503906,295.6815185546875,0.9997963309288025,578.4970703125,294.4028015136719,0.9999502897262573,335.84893798828125,302.87646484375,0.0034119582269340754
15,330.879150390625,295.6209411621094,0.9998087286949158,578.4984130859375,294.364013671875,0.9999500513076782,335.83514404296875,302.87646484375,0.0035679787397384644
16,330.85986328125,295.6209411621094,0.9998300075531006,578.5289916992188,294.364013671875,0.9999502897262573,335.83514404296875,302.871337890625,0.003381837857887149
17,330.9137878417969,295.6209411621094,0.999824583530426,578.53369140625,294.364013671875,0.9999492168426514,335.83514404296875,302.871337890625,0.003300443757325411
18,330.9150085449219,295.6209411621094,0.9998062252998352,578.549072265625,294.45513916015625,0.9999486207962036,335.83514404296875,302.884521484375,0.0032275766134262085
19,330.9150085449219,295.6209411621094,0.9997943043708801,578.5697021484375,294.45513916015625,0.9999454021453857,335.83514404296875,302.884521484375,0.003365331096574664
20,330.9137878417969,295.6477966308594,0.9998170733451843,578.6541137695312,294.4565124511719,0.9999468326568604,335.88983154296875,302.8363342285156,0.003442668356001377
21,330.9137878417969,295.6477966308594,0.9998168349266052,578.6613159179688,294.47601318359375,0.999942421913147,335.88983154296875,302.8363342285156,0.003483990440145135
22,330.8946838378906,295.6477966308594,0.9998156428337097,578.6613159179688,294.4565124511719,0.9999425411224365,335.8902282714844,302.8353271484375,0.003425637725740671
23,330.8946838378906,295.6477966308594,0.9997988343238831,578.6707763671875,294.4410095214844,0.9999395608901978,335.8902282714844,302.8353271484375,0.003320773597806692
24,330.8946838378906,295.6477966308594,0.999806821346283,578.6707763671875,294.4410095214844,0.9999428987503052,335.8902282714844,302.8353271484375,0.00337395747192204
25,330.9132385253906,295.635986328125,0.9998258948326111,578.6932983398438,294.31591796875,0.9999451637268066,335.8943786621094,302.8353271484375,0.0033428019378334284
26,330.92071533203125,295.635986328125,0.9998136162757874,578.7373657226562,294.20703125,0.9999487400054932,335.8943786621094,302.8353271484375,0.003366677789017558
27,330.92071533203125,295.635986328125,0.9998224377632141,578.769775390625,294.0981750488281,0.9999502897262573,335.8536071777344,302.852783203125,0.0033389991149306297
28,330.9132385253906,295.635986328125,0.9998053908348083,578.876220703125,294.04931640625,0.9999511241912842,335.86767578125,302.81915283203125,0.0033729062415659428
29,330.9038391113281,295.6578674316406,0.9998053908348083,578.9765014648438,293.93267822265625,0.9999544620513916,335.8846740722656,302.8119201660156,0.00344712077639997
30,330.8807067871094,295.69244384765625,0.9998125433921814,579.17138671875,293.8631591796875,0.9999538660049438,335.8846740722656,302.81915283203125,0.0034581776708364487
31,330.8722229003906,295.69244384765625,0.9998083710670471,579.2822875976562,293.8569641113281,0.9999533891677856,335.8846740722656,302.81915283203125,0.0034278067760169506
32,330.8722229003906,295.70074462890625,0.9998065829277039,579.332763671875,293.8569641113281,0.9999539852142334,335.88970947265625,302.8119201660156,0.003408145159482956
33,330.868408203125,295.7073669433594,0.9998094439506531,579.332763671875,293.8631591796875,0.9999539852142334,335.9120178222656,302.8055114746094,0.0032706251367926598
34,330.8652648925781,295.7073669433594,0.9998065829277039,579.332763671875,293.8631591796875,0.9999521970748901,335.9120178222656,302.7914123535156,0.0033868541941046715
35,330.80914306640625,295.7073669433594,0.9998061060905457,579.125,293.8569641113281,0.9999467134475708,335.9120178222656,302.7914123535156,0.00339815067127347
36,330.80914306640625,295.6902770996094,0.9997991919517517,579.0973510742188,293.79254150390625,0.9999454021453857,335.9058837890625,302.7985534667969,0.00354261277243495
37,330.80914306640625,295.6872253417969,0.9998119473457336,579.0631713867188,293.5685119628906,0.999945878982544,335.9058837890625,302.7914123535156,0.003451649798080325
38,330.8368835449219,295.6872253417969,0.9998106360435486,579.0543823242188,293.5375061035156,0.9999394416809082,335.9058837890625,302.7914123535156,0.003466118359938264
39,330.8368835449219,295.6902770996094,0.99981290102005,579.0631713867188,293.5375061035156,0.9999406337738037,335.9125671386719,302.7801208496094,0.003461021464318037
40,330.8368835449219,295.6861877441406,0.9998039603233337,579.0973510742188,293.5375061035156,0.9999388456344604,335.9242858886719,302.75103759765625,0.0034612270537763834
41,330.83502197265625,295.6861877441406,0.9998006224632263,579.2250366210938,293.7830505371094,0.9999353885650635,335.9242858886719,302.75103759765625,0.0034220421221107244
42,330.83502197265625,295.6861877441406,0.9998075366020203,579.4773559570312,293.7945251464844,0.9999361038208008,335.9242858886719,302.75103759765625,0.00356879411265254
43,330.83502197265625,295.6861877441406,0.9998136162757874,579.520263671875,293.8749694824219,0.9999328851699829,335.9242858886719,302.75103759765625,0.0035433503799140453
44,330.83502197265625,295.6861877441406,0.9998149275779724,579.656494140625,293.8749694824219,0.9999345541000366,335.9242858886719,302.75103759765625,0.0034650499001145363
45,330.85321044921875,295.783447265625,0.9998027682304382,579.682861328125,293.7830505371094,0.9999436140060425,586.0165405273438,279.77667236328125,0.004093524534255266
46,330.8841552734375,295.783447265625,0.9998013377189636,579.759765625,293.73712158203125,0.9999451637268066,586.029052734375,279.77667236328125,0.004655655939131975
