scorer,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000
bodyparts,snout,snout,snout,glenoid,glenoid,glenoid,elbow,elbow,elbow,wrist,wrist,wrist,hip,hip,hip,knee,knee,knee,ankle,ankle,ankle,vent,vent,vent
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,-5.494434356689453,619.4153442382812,0.0009067325154319406,-1.5224943161010742,617.78076171875,0.00012462175800465047,-1.1184587478637695,621.2139282226562,0.00013041689817328006,-4.498870849609375,618.0790405273438,0.00014794494200032204,-2.2014403343200684,618.6910400390625,9.012814552988857e-05,-2.475353717803955,620.2589111328125,8.646500646136701e-05,-2.577221393585205,619.282470703125,0.00030332832830026746,3.754361629486084,609.23095703125,7.696351531194523e-05
1,-5.650550842285156,619.4476318359375,0.0010753219248726964,-3.70339298248291,617.8595581054688,0.00012671649164985865,-1.535456657409668,621.2593383789062,0.00016864696226548404,-4.500882148742676,618.2889404296875,0.0002068973408313468,-2.2042999267578125,618.7991943359375,8.277058805106208e-05,-2.8941197395324707,620.3697509765625,0.00011575840471778065,-2.678457260131836,619.3196411132812,0.00041528488509356976,3.882800817489624,614.8342895507812,7.620356336701661e-05
2,-5.650550842285156,620.0092163085938,0.0039363643154501915,-3.705317974090576,617.8595581054688,0.00029979721875861287,-1.535456657409668,621.2667846679688,0.00040048794471658766,-4.500882148742676,618.2889404296875,0.0006153443246148527,-2.2042999267578125,618.7991943359375,0.00019443270866759121,-2.8941197395324707,620.5343627929688,0.00030263737426139414,-2.678457260131836,619.3465576171875,0.0011087682796642184,5.850433349609375,615.0396728515625,0.00018850460764952004
3,-5.494434356689453,620.2406616210938,0.001605227473191917,-3.805438995361328,617.8595581054688,0.0001574634516146034,-1.410658836364746,621.3759155273438,0.00017331988783553243,-4.498870849609375,618.3140869140625,0.000285680522210896,-2.232306480407715,618.6910400390625,9.493861580267549e-05,-2.864478588104248,620.64111328125,0.00014881689276080579,-2.678457260131836,619.3465576171875,0.0005463329725898802,5.958599090576172,614.9976806640625,9.466389019507915e-05
4,-5.466778755187988,620.2406616210938,0.004623593296855688,-3.805438995361328,617.7826538085938,0.00025582805392332375,-1.1184587478637695,621.3759155273438,0.0003845134633593261,-4.493104934692383,618.2351684570312,0.0005772336153313518,-2.232306480407715,618.5580444335938,0.00017265681526623666,-2.517691135406494,620.64111328125,0.000301423657219857,-2.577221393585205,619.3465576171875,0.0011149244382977486,5.850433349609375,614.9976806640625,0.0001591146137798205
5,-5.466778755187988,620.2406616210938,0.0021152363624423742,-3.8556313514709473,617.7826538085938,0.00015325959248002619,-1.410658836364746,621.3759155273438,0.00019528271513991058,-4.493104934692383,618.2351684570312,0.0003139368200208992,-2.447169303894043,618.5580444335938,9.531806426821277e-05,-2.833256244659424,620.64111328125,0.00016562434029765427,-2.6795597076416016,619.39599609375,0.0006055777193978429,5.958599090576172,614.9976806640625,0.00010033268335973844
6,-5.302276611328125,619.8136596679688,0.0042682914063334465,-3.805438995361328,617.7029418945312,0.00024820925318636,-1.1445083618164062,621.3759155273438,0.0003470692608971149,-4.493104934692383,618.1539916992188,0.0004763796168845147,-2.313262939453125,618.5580444335938,0.0001425213849870488,-2.517691135406494,620.5481567382812,0.00024912229855544865,-2.6483569145202637,619.389892578125,0.0007827854715287685,5.958599090576172,614.7764892578125,0.0001805600622901693
7,-5.326444625854492,619.8136596679688,0.0017827358096837997,-3.8556313514709473,617.6724243164062,0.00016906509699765593,-1.2961816787719727,621.2293090820312,0.00020461106032598764,-4.493104934692383,618.167236328125,0.00030286971013993025,-2.313262939453125,618.5580444335938,0.0001037400943459943,-2.833256244659424,620.5206909179688,0.00016856947331689298,-2.7202868461608887,619.389892578125,0.000625806103926152,5.958599090576172,614.7764892578125,0.00010317085980204865
