scorer,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000
bodyparts,sub1,sub1,sub1,sub2,sub2,sub2,grid1,grid1,grid1,grid2,grid2,grid2,beaktip,beaktip,beaktip,beakbase,beakbase,beakbase,head,head,head,eye,eye,eye,mandbase,mandbase,mandbase,mandtip,mandtip,mandtip,headbase,headbase,headbase,wing,wing,wing,topclaw,topclaw,topclaw,ankle,ankle,ankle,botclaw,botclaw,botclaw,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,721.6286010742188,173.1690216064453,0.999977707862854,708.5504150390625,535.2665405273438,0.9999865293502808,837.11328125,244.0176544189453,0.9999979734420776,831.8276977539062,401.1995544433594,0.9999945163726807,701.319091796875,694.037841796875,0.9999908208847046,717.1912231445312,679.8638916015625,0.9999759197235107,740.0733032226562,682.1732177734375,0.9999663829803467,730.728515625,692.564208984375,0.9999971389770508,717.4114379882812,695.8670043945312,0.9999867677688599,699.6940307617188,701.7173461914062,0.9999688863754272,759.5845947265625,721.059326171875,0.9995028972625732,754.3106689453125,733.5984497070312,0.9999847412109375,742.6049194335938,735.3886108398438,0.006199158728122711,845.0393676757812,232.98489379882812,0.001914480933919549,764.3037109375,726.3406372070312,0.0027159072924405336,755.5604248046875,736.5794067382812,0.0014486752916127443,701.9619750976562,856.7732543945312,0.0028246804140508175
9,721.6286010742188,173.1690216064453,0.9999778270721436,708.5994873046875,535.2665405273438,0.9999856948852539,837.11328125,244.0176544189453,0.999997615814209,831.8276977539062,401.1995544433594,0.9999949932098389,701.319091796875,693.9525146484375,0.9999898672103882,716.5723876953125,679.7094116210938,0.999976396560669,739.4844360351562,681.1613159179688,0.9999598264694214,730.2164916992188,691.6798095703125,0.9999964237213135,717.208984375,695.3406372070312,0.9999905824661255,699.9843139648438,701.6624145507812,0.9999685287475586,759.5845947265625,717.9034423828125,0.999677300453186,755.7755737304688,732.498779296875,0.9999922513961792,741.9667358398438,736.1796264648438,0.22749823331832886,706.73681640625,794.6102905273438,0.2939535677433014,764.3037109375,726.3814697265625,0.0033209819812327623,761.6227416992188,736.8890991210938,0.00143833935726434,701.9619750976562,827.466796875,0.016420327126979828
10,721.6286010742188,173.1690216064453,0.999975323677063,708.5994873046875,535.18505859375,0.9999843835830688,837.11328125,244.0176544189453,0.9999977350234985,831.8276977539062,401.1995544433594,0.9999945163726807,701.3214111328125,693.6917114257812,0.9999887943267822,715.958984375,679.6412963867188,0.9999783039093018,738.3409423828125,680.1121215820312,0.9999228715896606,729.1376342773438,690.9337768554688,0.9999933242797852,716.6256103515625,694.7924194335938,0.9999951124191284,700.030517578125,701.3443603515625,0.9999716281890869,759.2904663085938,716.7868041992188,0.9996792078018188,756.3475952148438,731.8712158203125,0.9999932050704956,703.079345703125,761.80517578125,0.007591209840029478,706.134765625,794.6102905273438,0.3931851387023926,764.3037109375,727.5918579101562,0.0030650366097688675,762.2791748046875,736.9087524414062,0.001418286352418363,700.8597412109375,812.6259155273438,0.00233656819909811
11,721.644775390625,173.1776580810547,0.9999748468399048,708.7093505859375,535.18505859375,0.9999839067459106,837.1475219726562,244.0176544189453,0.9999978542327881,831.8276977539062,401.1995544433594,0.999994158744812,701.4089965820312,693.181396484375,0.999984860420227,715.0803833007812,679.3658447265625,0.9999663829803467,736.5809326171875,677.5615234375,0.9999122619628906,727.7892456054688,689.156494140625,0.9999798536300659,715.6983032226562,693.9642944335938,0.9999967813491821,700.0928344726562,700.762451171875,0.9999736547470093,759.2904663085938,714.62939453125,0.9995742440223694,756.87158203125,731.267822265625,0.999993085861206,701.7771606445312,761.80517578125,0.0848400816321373,706.0718994140625,794.6102905273438,0.9517019987106323,696.9329223632812,806.5839233398438,0.03567328676581383,762.5214233398438,736.9324951171875,0.0013675927184522152,697.7332763671875,812.6259155273438,0.00234988029114902
12,721.644775390625,173.3299102783203,0.9999762773513794,708.713134765625,535.2659912109375,0.9999865293502808,837.1475219726562,244.0859375,0.9999977350234985,831.8276977539062,401.30096435546875,0.999994158744812,701.3214111328125,692.154541015625,0.9999810457229614,714.880615234375,678.3187255859375,0.9999420642852783,736.0736083984375,676.2852172851562,0.9999130964279175,726.8336791992188,687.6461181640625,0.9999634027481079,715.3792114257812,692.7177124023438,0.9999971389770508,700.4102172851562,700.0397338867188,0.9999749660491943,759.1484985351562,712.84423828125,0.999276340007782,757.5004272460938,730.9563598632812,0.9999938011169434,701.7771606445312,760.6610107421875,0.0807797983288765,706.0718994140625,793.9957275390625,0.9789997339248657,696.9329223632812,806.5839233398438,0.2934092879295349,762.7653198242188,737.067138671875,0.0009629059350118041,702.9752197265625,727.8675537109375,0.021858159452676773
13,721.6497192382812,173.3299102783203,0.999977707862854,708.7706298828125,535.2659912109375,0.9999871253967285,837.1355590820312,244.0859375,0.9999974966049194,831.8328857421875,401.30096435546875,0.9999949932098389,701.3150024414062,692.11767578125,0.9999728202819824,714.6524047851562,677.8767700195312,0.999946117401123,735.36962890625,675.1759643554688,0.9999045133590698,726.341796875,687.3687133789062,0.9999032020568848,715.2067260742188,692.2713623046875,0.9999966621398926,700.6932373046875,699.7687377929688,0.9999673366546631,759.0240478515625,711.0845947265625,0.9989964365959167,757.7584228515625,730.9563598632812,0.9999942779541016,701.7771606445312,760.6610107421875,0.038907069712877274,705.9686889648438,793.2366943359375,0.893535315990448,696.9329223632812,806.5839233398438,0.09584071487188339,762.7813720703125,737.39404296875,0.0007679840782657266,702.7391967773438,727.8675537109375,0.010449808090925217
14,721.6497192382812,173.34996032714844,0.9999768733978271,708.7706298828125,535.2659912109375,0.9999847412109375,837.1355590820312,244.06285095214844,0.9999973773956299,831.8328857421875,401.2514953613281,0.9999951124191284,701.3150024414062,692.11767578125,0.9999544620513916,714.4188842773438,677.8548583984375,0.9999179840087891,734.7002563476562,674.9442749023438,0.9998980760574341,725.8319091796875,687.3438110351562,0.9998748302459717,715.0338134765625,692.156982421875,0.9999960660934448,700.9405517578125,699.7316284179688,0.9999568462371826,758.8746948242188,710.4326782226562,0.9991152882575989,757.7836303710938,730.9563598632812,0.9999943971633911,701.7771606445312,737.7564697265625,0.004376550205051899,705.9686889648438,790.19775390625,0.009597139433026314,699.3961181640625,796.5792236328125,0.0017515793442726135,762.9274291992188,737.627685546875,0.0007093414315022528,702.7391967773438,700.6930541992188,0.001667957054451108
15,721.6962890625,173.34996032714844,0.9999743700027466,708.7706298828125,535.2659912109375,0.9999843835830688,837.1700439453125,244.06285095214844,0.9999973773956299,831.9186401367188,401.2514953613281,0.9999946355819702,701.1034545898438,692.11767578125,0.9999442100524902,714.2315063476562,677.7221069335938,0.9998750686645508,734.185546875,674.9442749023438,0.9998705387115479,725.8319091796875,687.2965698242188,0.9998496770858765,714.7879638671875,692.0664672851562,0.9999951124191284,700.9405517578125,699.6710815429688,0.9999573230743408,758.9537963867188,709.7517700195312,0.9992343187332153,757.89404296875,730.9918823242188,0.9999947547912598,704.2962646484375,737.2713623046875,0.004015322308987379,706.3928833007812,780.8380737304688,0.028142042458057404,699.9880981445312,784.235107421875,0.0025539265479892492,762.9274291992188,738.1231689453125,0.0006130311521701515,702.7391967773438,700.606689453125,0.0016620376845821738
16,721.6962890625,173.34996032714844,0.9999734163284302,708.7877197265625,535.2659912109375,0.9999843835830688,837.1700439453125,244.06285095214844,0.9999974966049194,831.9186401367188,401.2514953613281,0.9999943971633911,701.1034545898438,692.1510009765625,0.9999440908432007,713.9180908203125,677.7221069335938,0.9998576641082764,733.8759765625,674.8915405273438,0.9998854398727417,725.8319091796875,687.2616577148438,0.9998610019683838,714.7879638671875,692.0664672851562,0.9999947547912598,701.009765625,699.7316284179688,0.9999613761901855,758.9537963867188,709.7517700195312,0.9992855191230774,758.02783203125,731.0617065429688,0.9999949932098389,704.566162109375,735.3944702148438,0.2380891740322113,706.3928833007812,770.4287109375,0.0239935964345932,764.4769287109375,726.368896484375,0.03325146064162254,762.9274291992188,738.717041015625,0.00058375095250085,702.7391967773438,700.606689453125,0.0011649238876998425
17,721.6962890625,173.34996032714844,0.9999749660491943,708.7877197265625,535.279052734375,0.9999877214431763,837.1700439453125,244.06285095214844,0.9999974966049194,831.9186401367188,401.2514953613281,0.9999945163726807,701.032470703125,692.1878662109375,0.9999748468399048,713.9180908203125,677.7221069335938,0.9998682737350464,733.8759765625,674.8915405273438,0.9998836517333984,725.8110961914062,687.2616577148438,0.999874472618103,714.7879638671875,692.0664672851562,0.9999964237213135,700.9405517578125,699.7316284179688,0.9999818801879883,758.9537963867188,709.5071411132812,0.9986143112182617,758.6590576171875,731.2960205078125,0.9999943971633911,704.2962646484375,715.5546875,0.008895806036889553,706.985107421875,770.4287109375,0.0019430472748354077,701.089111328125,781.376708984375,0.0012697428464889526,763.1763305664062,738.717041015625,0.0004047474358230829,702.7391967773438,700.6930541992188,0.0016598831862211227
