scorer,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000
bodyparts,snout,snout,snout,glenoid,glenoid,glenoid,elbow,elbow,elbow,wrist,wrist,wrist,hip,hip,hip,knee,knee,knee,ankle,ankle,ankle,vent,vent,vent
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,0.0,0.0,0.0004347728390712291,-0.42330169677734375,1.1018176078796387,0.0005628402577713132,0.26761460304260254,0.0,0.0005802761297672987,-0.5094480514526367,0.5754022598266602,0.0004695173120126128,0.48403263092041016,-1.0557184219360352,0.00046131841372698545,-1.3006796836853027,-0.24549627304077148,0.0002463852579239756,-0.8323678970336914,765.4641723632812,0.00045004222192801535,4.431262016296387,2.3970372676849365,0.0007067890255711973
1,1.440166711807251,-3.915374279022217,0.00038676997064612806,-0.4682888984680176,1.1770706176757812,0.0005966704920865595,0.26761460304260254,-0.0036907196044921875,0.0006095875287428498,-0.5559124946594238,0.5754022598266602,0.0004794267879333347,0.524139404296875,-1.1182007789611816,0.00047810145770199597,-1.3186068534851074,-0.3371238708496094,0.00025710472255013883,-0.842012882232666,765.4776000976562,0.00039201261824928224,4.465869903564453,2.3970372676849365,0.0007475911406800151
2,1.440166711807251,-3.915374279022217,0.000418587529566139,-0.6285009384155273,1.1770706176757812,0.0007208878523670137,0.3039586544036865,-0.046271324157714844,0.0006800275295972824,-0.783238410949707,0.5754022598266602,0.0004919968778267503,0.5740389823913574,-1.40144681930542,0.0005278682219795883,-1.5668220520019531,-0.5281996726989746,0.0002924928267020732,-1.1027402877807617,765.4776000976562,0.0005105717573314905,4.465869903564453,2.402958631515503,0.0008062964188866317
3,1.440166711807251,-3.9425530433654785,0.0004030480922665447,-0.6285009384155273,1.1770706176757812,0.0006995445000939071,0.3039586544036865,-0.046271324157714844,0.0006487357895821333,-0.8131279945373535,0.5754022598266602,0.0004986498970538378,0.5740389823913574,-1.40144681930542,0.0005294691654853523,-1.5851454734802246,-0.5281996726989746,0.00028489468968473375,-1.1027402877807617,765.4776000976562,0.0004328835057094693,4.431262016296387,2.402958631515503,0.000817077059764415
4,1.313530683517456,-3.9425530433654785,0.0004006559611298144,-0.6285009384155273,1.15594482421875,0.000668039545416832,0.26761460304260254,-0.11753034591674805,0.0005935007939115167,-0.86773681640625,0.5754022598266602,0.0004590301541611552,0.5740389823913574,-1.40144681930542,0.00048324823728762567,-1.6121597290039062,-0.5281996726989746,0.00026747796800918877,-1.1027402877807617,765.4776000976562,0.00043774419464170933,4.405885696411133,2.4869279861450195,0.0007769967778585851
5,-5.411592483520508,762.5549926757812,0.000393337948480621,-0.5610675811767578,1.1770706176757812,0.0007618595263920724,0.3039586544036865,-0.046271324157714844,0.0006499258452095091,-0.8131279945373535,0.5815532207489014,0.0004972044844180346,0.5013089179992676,-1.3783960342407227,0.0005440255044959486,-1.5851454734802246,-0.4823155403137207,0.00029049551812931895,-0.929567813873291,765.4776000976562,0.00039095646934583783,4.405885696411133,2.402958631515503,0.0008213388500735164
6,-5.435878753662109,762.6218872070312,0.0004720658762380481,-0.5321431159973145,1.2082982063293457,0.0006814834196120501,0.3245549201965332,0.07335948944091797,0.0006356851663440466,-0.783238410949707,0.5918498039245605,0.00047373396228067577,0.5013089179992676,-1.3382377624511719,0.00048033223720267415,-1.5851454734802246,-0.3371744155883789,0.00027399740065447986,-0.929567813873291,765.4044189453125,0.0005154545651748776,4.405885696411133,2.402958631515503,0.000763270421884954
7,-5.435878753662109,762.6112670898438,0.0005600206786766648,-0.4842348098754883,1.5802874565124512,0.0005680009489879012,0.38810038566589355,0.08909749984741211,0.0005703847273252904,-0.7235231399536133,0.645578145980835,0.0004801393370144069,0.5013089179992676,-1.1039390563964844,0.0004726505430880934,-1.353510856628418,-0.3312950134277344,0.00023934566706884652,-0.929567813873291,765.4044189453125,0.0005124100716784596,4.520423412322998,2.2797446250915527,0.0007626790320500731
