scorer,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000
bodyparts,snout,snout,snout,glenoid,glenoid,glenoid,elbow,elbow,elbow,wrist,wrist,wrist,hip,hip,hip,knee,knee,knee,ankle,ankle,ankle,vent,vent,vent
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,-4.673996925354004,441.20355224609375,0.0043548354879021645,-1.5531220436096191,442.5458068847656,0.0021336267236620188,0.7378888130187988,446.03582763671875,0.002229194389656186,-0.4141058921813965,431.07257080078125,0.002248024567961693,-0.5894889831542969,427.7536315917969,0.0020113689824938774,-0.38913822174072266,429.4479675292969,0.0008659830200485885,0.0,430.2217712402344,0.003978846129029989,5.133607864379883,440.6839294433594,0.0025950244162231684
1,-4.682402610778809,441.2360534667969,0.0038939418736845255,-1.5796904563903809,442.5458068847656,0.0019411413231864572,0.7378888130187988,446.03582763671875,0.0021202859934419394,-0.4819364547729492,431.08099365234375,0.002172368112951517,-0.6397829055786133,427.7536315917969,0.0018964479677379131,-0.4331631660461426,429.4479675292969,0.0010230999905616045,0.11970114707946777,430.250244140625,0.004499776288866997,5.139097213745117,440.6932373046875,0.0024194251745939255
2,-4.716414451599121,441.2779541015625,0.003955747466534376,-1.5796904563903809,442.5458068847656,0.0020459110382944345,0.7378888130187988,446.0583801269531,0.0022892707493156195,-0.5450468063354492,431.1142578125,0.0021215020678937435,-0.6508045196533203,427.7536315917969,0.0019155855989083648,-0.43328285217285156,429.4479675292969,0.000988481566309929,0.11970114707946777,430.2804260253906,0.0040489789098501205,5.139097213745117,440.6932373046875,0.002424210775643587
3,-4.716518402099609,441.2360534667969,0.0034372415393590927,-1.5796904563903809,442.43023681640625,0.0018811175832524896,0.7255964279174805,446.0583801269531,0.0022876367438584566,-0.5771727561950684,431.08099365234375,0.0020605989266186953,-0.6397829055786133,427.7536315917969,0.0018606979865580797,-0.43328285217285156,429.4479675292969,0.0010562787065282464,0.14382243156433105,430.250244140625,0.004598368424922228,5.139097213745117,440.6839294433594,0.002351379720494151
4,-4.716518402099609,441.2360534667969,0.0032551917247474194,-1.5954689979553223,442.43023681640625,0.0017930936301127076,0.6579329967498779,445.9894104003906,0.002116373972967267,-0.5994086265563965,431.08099365234375,0.0020259444136172533,-0.6397829055786133,427.8011474609375,0.001878672163002193,-0.4331631660461426,429.445068359375,0.0010312594240531325,0.14382243156433105,430.250244140625,0.00468850415199995,4.890515327453613,425.981689453125,0.0024246361572295427
5,-4.725685119628906,441.03326416015625,0.0032957568764686584,-1.5721936225891113,442.43023681640625,0.0017429545987397432,0.6579329967498779,445.9673156738281,0.0019035356817767024,-0.5994086265563965,431.0237731933594,0.002119594020769,-0.6380958557128906,427.763427734375,0.0019418380688875914,-0.42883968353271484,429.4360656738281,0.0010720290010794997,0.14382243156433105,430.16925048828125,0.004487187601625919,4.890515327453613,425.981689453125,0.0022510974667966366
6,-4.744809150695801,440.9297790527344,0.003631056286394596,-1.5461082458496094,442.4319763183594,0.0017998204566538334,0.6579329967498779,445.9503479003906,0.0019871678669005632,-0.5912365913391113,431.0237731933594,0.002104442100971937,-0.6231856346130371,427.763427734375,0.0019253238569945097,-0.42883968353271484,429.4360656738281,0.0010179945966228843,0.15975022315979004,430.16925048828125,0.004251589998602867,4.890515327453613,425.981689453125,0.0022442738991230726
7,-4.744809150695801,440.7553405761719,0.003927232231944799,-1.5461082458496094,442.4319763183594,0.001982930349186063,0.7210750579833984,445.9365234375,0.0021645475644618273,-0.5912365913391113,431.0231628417969,0.002237921115010977,-0.6206789016723633,427.7736511230469,0.0018625843804329634,-0.4254584312438965,429.4360656738281,0.0010412035044282675,0.15975022315979004,430.1624450683594,0.004232360981404781,4.759521484375,425.981689453125,0.0023946145083755255
