scorer,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000
bodyparts,sub1,sub1,sub1,sub2,sub2,sub2,grid1,grid1,grid1,grid2,grid2,grid2,beaktip,beaktip,beaktip,beakbase,beakbase,beakbase,head,head,head,eye,eye,eye,mandbase,mandbase,mandbase,mandtip,mandtip,mandtip,headbase,headbase,headbase,wing,wing,wing,topclaw,topclaw,topclaw,ankle,ankle,ankle,botclaw,botclaw,botclaw,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,721.1397705078125,173.10220336914062,0.9997552037239075,707.0979614257812,535.747802734375,0.9999618530273438,836.614990234375,244.74717712402344,0.9999033212661743,831.926513671875,400.49481201171875,0.99932861328125,832.285888671875,398.8569030761719,0.00294447666965425,723.6221313476562,242.53855895996094,0.16618409752845764,722.980224609375,171.2378692626953,0.02000417187809944,849.002685546875,247.38050842285156,0.0031803634483367205,845.9277954101562,247.5963897705078,0.01301400177180767,841.8975219726562,249.7530059814453,0.0027011632919311523,787.9752197265625,697.8018798828125,0.4968183636665344,790.9280395507812,714.7498779296875,0.21449457108974457,796.4015502929688,247.81570434570312,0.0009134123683907092,840.0398559570312,397.4927673339844,0.0025094274897128344,722.5952758789062,169.14707946777344,0.0015779479872435331,710.0247802734375,542.8190307617188,0.0023825624957680702,729.9810180664062,167.9707489013672,0.0032219530548900366
1,721.1397705078125,173.10220336914062,0.9997376799583435,707.0979614257812,535.900634765625,0.9999536275863647,836.614990234375,244.8148651123047,0.9999088048934937,831.926513671875,400.6429748535156,0.99937903881073,832.285888671875,398.956298828125,0.002948163542896509,848.2140502929688,242.53855895996094,0.004477743990719318,722.980224609375,171.2378692626953,0.0020501697435975075,849.002685546875,247.38050842285156,0.003041862742975354,845.9277954101562,247.60215759277344,0.011800435371696949,841.8975219726562,249.7530059814453,0.002608103910461068,789.1986083984375,697.8018798828125,0.015737583860754967,791.1923217773438,714.8489379882812,0.012804483063519001,796.4015502929688,247.8213653564453,0.0006728742737323046,840.0398559570312,397.4927673339844,0.0022732734214514494,722.5952758789062,169.14707946777344,0.0016423050547018647,710.0247802734375,542.8190307617188,0.0008976167882792652,729.9918823242188,168.00949096679688,0.003175724297761917
2,721.1397705078125,173.10220336914062,0.9997226595878601,707.248779296875,535.900634765625,0.9999467134475708,836.6375732421875,244.8148651123047,0.999911904335022,831.9564208984375,400.6429748535156,0.9994481205940247,832.3126220703125,398.956298828125,0.002831709571182728,848.224609375,242.53855895996094,0.004261598456650972,722.980224609375,171.2378692626953,0.002063360996544361,849.002685546875,247.38050842285156,0.002895047189667821,845.9277954101562,247.60215759277344,0.011576937511563301,841.8975219726562,249.7530059814453,0.0024488018825650215,789.7775268554688,697.8018798828125,0.00857490673661232,791.4409790039062,715.02734375,0.004294232465326786,796.4015502929688,543.30517578125,0.0007287272019311786,840.059814453125,397.4927673339844,0.001974862301722169,722.5952758789062,169.14707946777344,0.0017078552627936006,710.0725708007812,542.8190307617188,0.0009271398303098977,730.0203247070312,168.0193634033203,0.003138531930744648
3,721.1397705078125,173.17874145507812,0.999748170375824,707.248779296875,535.900634765625,0.9999567270278931,836.6375732421875,244.8414764404297,0.999908447265625,831.9564208984375,400.6429748535156,0.9994707703590393,832.3126220703125,398.96832275390625,0.0028645002748817205,848.2772216796875,242.4155731201172,0.004380717873573303,722.9722900390625,171.11573791503906,0.001988990232348442,849.002685546875,247.38888549804688,0.00304651097394526,845.9277954101562,247.63034057617188,0.012544289231300354,841.8975219726562,249.7829132080078,0.002345459768548608,789.8046875,696.758544921875,0.026786189526319504,791.5792236328125,715.02734375,0.0020643696188926697,713.0753784179688,543.30517578125,0.0006989130633883178,840.059814453125,397.4529724121094,0.002035398967564106,722.6082153320312,169.21006774902344,0.0016528124688193202,710.0725708007812,542.7117309570312,0.000965380051638931,730.0203247070312,168.0193634033203,0.003146392060443759
4,721.1397705078125,173.17874145507812,0.9997641444206238,707.2238159179688,535.900634765625,0.9999624490737915,836.6375732421875,244.8414764404297,0.9998986721038818,831.9564208984375,400.6429748535156,0.9994240999221802,832.3126220703125,398.96832275390625,0.0029071385506540537,848.2772216796875,242.4155731201172,0.004715935792773962,722.9722900390625,171.11573791503906,0.0020163494627922773,849.002685546875,247.38888549804688,0.0031861828174442053,845.9277954101562,247.63034057617188,0.013460681773722172,841.8975219726562,249.7829132080078,0.0024856948293745518,790.2250366210938,695.7808837890625,0.038367655128240585,815.2745361328125,799.0860595703125,0.005136267282068729,713.0753784179688,543.30517578125,0.0007274605450220406,840.059814453125,397.4529724121094,0.0022246979642659426,722.6082153320312,169.21006774902344,0.0015498335706070065,710.058837890625,542.7117309570312,0.0009769267635419965,730.0203247070312,168.03407287597656,0.003346044337376952
5,721.0772094726562,173.17874145507812,0.9997535347938538,707.2238159179688,535.900634765625,0.9999589920043945,836.6375732421875,244.8414764404297,0.999902606010437,831.9564208984375,400.6429748535156,0.9993752837181091,832.3126220703125,398.96832275390625,0.003060408402234316,848.2864990234375,242.4155731201172,0.004448470193892717,722.9661254882812,171.11573791503906,0.0020956643857061863,848.884521484375,247.38888549804688,0.0030790825840085745,845.8726806640625,247.63034057617188,0.01221306249499321,841.8309936523438,249.7829132080078,0.0025756913237273693,790.743408203125,695.7808837890625,0.09433385729789734,815.7023315429688,799.0860595703125,0.010078809224069118,713.0753784179688,543.30517578125,0.000698860501870513,840.0711059570312,397.4529724121094,0.002375473501160741,722.5387573242188,169.21006774902344,0.0016160613158717752,710.058837890625,542.7117309570312,0.0009640322532504797,730.0203247070312,168.03407287597656,0.0032264767214655876
6,721.0772094726562,173.17874145507812,0.9997287392616272,707.2238159179688,535.8538818359375,0.9999477863311768,836.6375732421875,244.8414764404297,0.9999098777770996,831.9564208984375,400.6086120605469,0.9994379878044128,832.3126220703125,398.96832275390625,0.0029233235400170088,848.2864990234375,242.38992309570312,0.004232953768223524,722.9698486328125,171.11573791503906,0.002094113500788808,848.9083251953125,247.38888549804688,0.00301103456877172,845.89697265625,247.63034057617188,0.011445405893027782,841.8309936523438,249.7829132080078,0.002603914588689804,791.1361083984375,695.7808837890625,0.1539146900177002,815.7023315429688,799.0860595703125,0.005173524376004934,713.0753784179688,543.3800659179688,0.0007152750622481108,840.0711059570312,397.4529724121094,0.002075333148241043,722.5387573242188,169.21006774902344,0.0017175235552713275,710.058837890625,542.7117309570312,0.0009563061757944524,730.0203247070312,168.06581115722656,0.0031428730580955744
7,721.1109008789062,173.17874145507812,0.9997244477272034,707.2238159179688,535.8538818359375,0.9999492168426514,836.6953735351562,244.8414764404297,0.9999085664749146,831.9590454101562,400.6086120605469,0.9994522929191589,832.3484497070312,398.96832275390625,0.0029396286699920893,848.2864990234375,242.38992309570312,0.00447157584130764,722.9722900390625,171.11573791503906,0.002018105238676071,848.9404907226562,247.38888549804688,0.002981204306706786,845.93310546875,247.63034057617188,0.012004781514406204,841.83984375,249.7829132080078,0.0024646171368658543,791.3837280273438,695.7808837890625,0.20705769956111908,815.7023315429688,797.5724487304688,0.0039391713216900826,713.0753784179688,543.3800659179688,0.0007102468516677618,840.1144409179688,397.4529724121094,0.0020614098757505417,722.5387573242188,169.21006774902344,0.0017360448837280273,710.058837890625,542.7117309570312,0.0009554036660119891,730.0365600585938,168.0681915283203,0.0031677328515797853
