scorer,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000,DLC_resnet50_craniofacialFeb8shuffle1_400000
bodyparts,sub1,sub1,sub1,sub2,sub2,sub2,grid1,grid1,grid1,grid2,grid2,grid2,beaktip,beaktip,beaktip,beakbase,beakbase,beakbase,head,head,head,eye,eye,eye,mandbase,mandbase,mandbase,mandtip,mandtip,mandtip,headbase,headbase,headbase,wing,wing,wing,topclaw,topclaw,topclaw,ankle,ankle,ankle,botclaw,botclaw,botclaw,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,720.826171875,173.2344207763672,0.9997797608375549,707.3432006835938,535.7928466796875,0.9999629259109497,836.697998046875,244.8922576904297,0.9999585151672363,831.9464721679688,400.538330078125,0.9993616938591003,832.4357299804688,398.9820556640625,0.0032666882034391165,848.4867553710938,242.60848999023438,0.0058092945255339146,722.8953857421875,171.26617431640625,0.0025175786577165127,849.6671752929688,247.3927001953125,0.004629329312592745,846.3072509765625,247.76312255859375,0.012357388623058796,841.8566284179688,249.83433532714844,0.0029919110238552094,704.4755249023438,539.0029296875,0.0014454616466537118,817.1050415039062,358.96063232421875,0.002008938230574131,724.3290405273438,169.50289916992188,0.0009321855613961816,840.1408081054688,397.50909423828125,0.0028180424124002457,722.4758911132812,169.04171752929688,0.0017275104764848948,710.0784301757812,542.7450561523438,0.0008813458262011409,729.8994750976562,168.12513732910156,0.00417874613776803
1,720.826171875,173.2344207763672,0.9997610449790955,707.43115234375,535.7928466796875,0.999954342842102,836.7275390625,244.8922576904297,0.9999594688415527,831.9827270507812,400.538330078125,0.999420166015625,832.4740600585938,398.9820556640625,0.0033428450115025043,848.4867553710938,242.60848999023438,0.005560638383030891,722.8953857421875,171.26617431640625,0.002566100098192692,849.6865234375,247.39793395996094,0.004606300499290228,846.3477783203125,247.76312255859375,0.011670025996863842,841.8566284179688,249.83433532714844,0.0029786131344735622,704.6358032226562,539.0029296875,0.0015044723404571414,817.1680297851562,358.96063232421875,0.0019510772544890642,724.3290405273438,169.50289916992188,0.0009504084591753781,840.1408081054688,397.50909423828125,0.002648836001753807,722.4758911132812,169.04171752929688,0.0017991411732509732,710.1676025390625,542.7450561523438,0.0009184189257211983,729.9161376953125,168.12513732910156,0.004139371681958437
2,720.9424438476562,173.2344207763672,0.9997698664665222,707.507568359375,535.7928466796875,0.9999551773071289,836.8508911132812,244.8922576904297,0.9999589920043945,832.0738525390625,400.538330078125,0.9994515776634216,832.5743408203125,398.9820556640625,0.0032862878870218992,848.5269165039062,242.60848999023438,0.005448987241834402,722.9362182617188,171.26617431640625,0.002504631644114852,849.8187255859375,247.39793395996094,0.004645416513085365,846.485595703125,247.76312255859375,0.01200733333826065,841.9069213867188,249.83433532714844,0.0029459132347255945,707.4396362304688,539.0029296875,0.001502943690866232,817.2576293945312,358.96063232421875,0.0018747206777334213,724.4185180664062,169.50289916992188,0.0009192878496833146,840.1761474609375,397.5286560058594,0.002488022670149803,722.5697021484375,169.04171752929688,0.0017979925032705069,710.18505859375,542.7450561523438,0.0009281947277486324,729.9208984375,168.14859008789062,0.004234348889440298
3,720.9424438476562,173.2344207763672,0.9997699856758118,707.507568359375,535.923095703125,0.9999624490737915,836.8508911132812,244.94944763183594,0.9999586343765259,832.0738525390625,400.5684509277344,0.9994301199913025,832.5743408203125,399.03289794921875,0.003291907487437129,848.5269165039062,242.63804626464844,0.005870053078979254,722.9362182617188,171.28985595703125,0.0024578808806836605,849.8187255859375,247.4401092529297,0.004462006036192179,846.485595703125,247.8096466064453,0.012965161353349686,841.9069213867188,249.8631134033203,0.0029875917825847864,704.7144775390625,539.2460327148438,0.0014644864713773131,817.2576293945312,359.01361083984375,0.001949066179804504,724.4185180664062,169.50289916992188,0.0009115118300542235,840.1761474609375,397.5286560058594,0.0026454608887434006,722.5697021484375,169.0619354248047,0.0016774340765550733,710.18505859375,542.83642578125,0.0009257036726921797,729.9208984375,168.16090393066406,0.004191691521555185
4,720.966064453125,173.2344207763672,0.9997979998588562,707.4441528320312,535.923095703125,0.9999656677246094,836.8455200195312,244.94944763183594,0.9999587535858154,832.0022583007812,400.5684509277344,0.9993696808815002,832.4824829101562,399.03289794921875,0.003243994200602174,848.5269165039062,242.63804626464844,0.00622366601601243,722.97802734375,171.28985595703125,0.0026792099233716726,849.7861938476562,247.4401092529297,0.004626124631613493,846.4466552734375,247.8096466064453,0.013521693646907806,841.9069213867188,249.8631134033203,0.003143907291814685,704.7144775390625,539.2460327148438,0.0014709408860653639,817.207763671875,359.01361083984375,0.0020129880867898464,724.4413452148438,169.50289916992188,0.0010017763124778867,840.1408081054688,397.5286560058594,0.0028445012867450714,722.5697021484375,169.0619354248047,0.0017216965788975358,710.1676025390625,542.83642578125,0.0009165848605334759,729.9388427734375,168.1658172607422,0.0043233782052993774
5,720.966064453125,173.09194946289062,0.999785840511322,707.4441528320312,535.9189453125,0.9999591112136841,836.8455200195312,244.92855834960938,0.9999597072601318,832.0022583007812,400.5684509277344,0.9993507266044617,832.4824829101562,399.03289794921875,0.0033188534434884787,848.5269165039062,242.62405395507812,0.005703064147382975,722.97802734375,171.2106475830078,0.0027139242738485336,849.7861938476562,247.4401092529297,0.0045729936100542545,846.4466552734375,247.77120971679688,0.011899139732122421,841.9069213867188,249.81344604492188,0.0029264299664646387,704.7144775390625,539.2460327148438,0.0014843038516119123,817.207763671875,359.01361083984375,0.001985010923817754,724.4413452148438,169.4438018798828,0.0010138790821656585,840.1382446289062,397.5286560058594,0.002837745239958167,722.5697021484375,168.93438720703125,0.0017733966233208776,710.1676025390625,542.822509765625,0.0008956731762737036,729.9388427734375,168.1658172607422,0.004300163593143225
6,720.966064453125,173.09194946289062,0.9997590184211731,707.4931030273438,535.9189453125,0.9999507665634155,836.8455200195312,244.92855834960938,0.9999589920043945,832.0599975585938,400.5684509277344,0.9994440674781799,832.5675048828125,399.03289794921875,0.003332671010866761,848.5269165039062,242.62405395507812,0.0054014199413359165,722.97802734375,171.1983642578125,0.002543795621022582,849.7861938476562,247.4401092529297,0.004536919295787811,846.4466552734375,247.77120971679688,0.011420066468417645,841.9069213867188,249.81344604492188,0.0029336363077163696,704.7144775390625,539.2460327148438,0.0015087617794051766,817.207763671875,359.01361083984375,0.002010004362091422,724.4413452148438,169.4438018798828,0.0009714248008094728,840.1712646484375,397.5286560058594,0.00255441851913929,722.5697021484375,168.93438720703125,0.001780577702447772,710.1988525390625,542.822509765625,0.0009102082694880664,729.9928588867188,168.1658172607422,0.004112658556550741
7,720.966064453125,173.24803161621094,0.999777615070343,707.4931030273438,535.9189453125,0.999957799911499,836.8455200195312,244.92855834960938,0.9999591112136841,832.0599975585938,400.5684509277344,0.9994513392448425,832.5675048828125,399.03289794921875,0.003282766090705991,848.5443115234375,242.62405395507812,0.005725393537431955,722.97802734375,171.28204345703125,0.0025005009956657887,849.7861938476562,247.4401092529297,0.004311020486056805,846.4466552734375,247.77120971679688,0.01244916021823883,841.9390869140625,249.81344604492188,0.0028408330399543047,704.7144775390625,539.2460327148438,0.0015406734310090542,817.207763671875,359.01361083984375,0.0019351200899109244,724.4413452148438,169.47080993652344,0.000914851960260421,840.1712646484375,397.5426025390625,0.0024882324505597353,722.6036987304688,169.0764923095703,0.0017761269118636847,710.1988525390625,542.822509765625,0.0009445921750739217,729.9928588867188,168.1658172607422,0.00431244308128953
