scorer,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000
bodyparts,woodL,woodL,woodL,woodR,woodR,woodR,neck,neck,neck,Lead,Lead,Lead,Lag,Lag,Lag
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,229.7060546875,395.904541015625,0.9999991655349731,835.4314575195312,406.7762451171875,0.9999995231628418,971.0097045898438,664.1546020507812,0.9929089546203613,883.3142700195312,713.0083618164062,0.9999977350234985,980.132080078125,710.9326171875,0.6638254523277283
1,229.7060546875,395.904541015625,0.9999992847442627,835.6067504882812,407.05169677734375,0.9999995231628418,971.0097045898438,665.4483032226562,0.9996782541275024,883.4098510742188,713.0933227539062,0.9999979734420776,980.132080078125,710.9326171875,0.9954715967178345
2,229.7060546875,395.904541015625,0.9999992847442627,835.9430541992188,407.14227294921875,0.9999994039535522,971.0097045898438,665.8366088867188,0.9999803304672241,883.4098510742188,713.5215454101562,0.9999971389770508,980.132080078125,710.9326171875,0.9999792575836182
3,229.6085968017578,395.7819519042969,0.9999991655349731,836.1886596679688,407.1684875488281,0.9999994039535522,963.1421508789062,665.8366088867188,0.9999957084655762,883.3142700195312,713.5770263671875,0.9999961853027344,976.7357788085938,710.1385498046875,0.9999940395355225
4,229.5137481689453,395.645751953125,0.9999991655349731,836.2145385742188,407.2122802734375,0.9999994039535522,956.587890625,665.8366088867188,0.9999836683273315,882.4498291015625,713.659423828125,0.9999970197677612,973.2991333007812,710.1152954101562,0.9999960660934448
5,229.3095245361328,395.6091003417969,0.9999991655349731,836.2145385742188,407.2122802734375,0.9999994039535522,949.6491088867188,664.3621215820312,0.9999946355819702,881.2352294921875,713.8123168945312,0.9999958276748657,970.1475830078125,709.5806274414062,0.9999958276748657
6,229.17620849609375,395.57940673828125,0.9999991655349731,836.2344360351562,407.2122802734375,0.9999992847442627,943.6380615234375,664.114990234375,0.9999855756759644,880.420654296875,713.96484375,0.9999901056289673,968.1505737304688,709.33056640625,0.9999970197677612
7,228.98974609375,395.5562438964844,0.9999991655349731,836.2344360351562,407.2122802734375,0.9999992847442627,937.1883544921875,663.9948120117188,0.9999731779098511,880.2705688476562,714.1984252929688,0.9999532699584961,966.4246826171875,709.1995849609375,0.9999977350234985
