scorer,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000
bodyparts,woodL,woodL,woodL,woodR,woodR,woodR,neck,neck,neck,Lead,Lead,Lead,Lag,Lag,Lag
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,228.6998291015625,395.3803405761719,0.9999984502792358,835.7581787109375,406.6490478515625,0.999998927116394,931.4104614257812,662.3565673828125,0.9999984502792358,879.94287109375,714.40576171875,0.9999674558639526,966.465087890625,709.2066650390625,0.9999961853027344
9,228.66232299804688,395.38427734375,0.9999984502792358,835.914794921875,406.56451416015625,0.9999990463256836,925.966552734375,661.0844116210938,0.9999831914901733,879.94287109375,714.8429565429688,0.9999550580978394,966.465087890625,709.2066650390625,0.9999655485153198
10,228.62863159179688,395.3843078613281,0.9999985694885254,835.9970703125,406.39324951171875,0.9999991655349731,917.8516845703125,661.0844116210938,0.9999957084655762,879.94287109375,715.3690795898438,0.9998266100883484,966.9027099609375,710.453857421875,0.9999861717224121
11,228.5374298095703,395.3710021972656,0.9999984502792358,836.0044555664062,406.28387451171875,0.9999991655349731,913.6651611328125,661.0844116210938,0.9999908208847046,880.2733154296875,715.9046630859375,0.999582827091217,966.9027099609375,710.453857421875,0.999901294708252
12,228.30242919921875,395.3843078613281,0.9999985694885254,836.0044555664062,406.25238037109375,0.9999992847442627,912.8890991210938,661.3297729492188,0.9983970522880554,880.9942016601562,716.4346313476562,0.9981403350830078,966.9027099609375,710.5687255859375,0.9993645548820496
13,228.14993286132812,395.43133544921875,0.9999984502792358,836.0267944335938,406.1620178222656,0.9999992847442627,909.775634765625,661.6024780273438,0.9683138132095337,881.5044555664062,716.4756469726562,0.9888293147087097,963.7939453125,711.3138427734375,0.9947675466537476
14,227.93650817871094,395.4591979980469,0.9999982118606567,836.0267944335938,406.1540222167969,0.9999992847442627,909.2503662109375,661.8218383789062,0.9925699830055237,881.8097534179688,716.8319702148438,0.981486976146698,886.243408203125,717.0313110351562,0.934792697429657
15,227.7576904296875,395.4997863769531,0.9999982118606567,836.0354614257812,406.1210632324219,0.9999992847442627,905.4508666992188,661.6024780273438,0.973323404788971,882.4216918945312,716.9376220703125,0.9870340824127197,886.243408203125,717.3444213867188,0.8922119736671448
16,227.5902862548828,395.4997863769531,0.9999978542327881,836.0716552734375,406.11407470703125,0.9999992847442627,900.3258056640625,661.8218383789062,0.8326594829559326,883.1128540039062,716.9376220703125,0.9950809478759766,886.243408203125,717.3444213867188,0.7632912397384644
17,227.41407775878906,395.4997863769531,0.9999977350234985,836.0716552734375,406.0611572265625,0.9999992847442627,899.5025634765625,661.8218383789062,0.7251131534576416,883.6065063476562,717.047119140625,0.9793944954872131,886.4114379882812,717.3668212890625,0.8879057765007019
18,227.1954345703125,395.4691162109375,0.9999974966049194,836.0716552734375,406.0466003417969,0.9999994039535522,899.4830932617188,661.3591918945312,0.1496744006872177,883.843017578125,716.9963989257812,0.9789344668388367,886.488525390625,717.5711059570312,0.8997011780738831
19,226.9738311767578,395.4570007324219,0.9999967813491821,836.0171508789062,406.0084228515625,0.9999994039535522,899.0794677734375,661.09814453125,0.043242715299129486,884.5216064453125,716.9376220703125,0.9841391444206238,886.7703857421875,717.3668212890625,0.8543092012405396
20,226.96629333496094,395.36480712890625,0.9999957084655762,836.0171508789062,406.0040588378906,0.9999994039535522,898.7089233398438,660.2614135742188,0.03488217294216156,885.6580810546875,716.33447265625,0.790009617805481,889.1773681640625,717.362060546875,0.967780590057373
21,226.96629333496094,395.3529357910156,0.9999942779541016,836.0171508789062,405.97393798828125,0.9999994039535522,897.3661499023438,659.82080078125,0.02716134302318096,885.7059936523438,716.3043212890625,0.29279348254203796,891.255615234375,717.362060546875,0.997256338596344
22,226.96629333496094,395.21441650390625,0.9999914169311523,836.0670776367188,405.9397277832031,0.9999994039535522,893.0947875976562,659.0978393554688,0.016768280416727066,885.7059936523438,715.4393310546875,0.2062087059020996,892.67041015625,717.1353149414062,0.9931146502494812
23,227.0328369140625,395.21441650390625,0.9999890327453613,836.0670776367188,405.8888244628906,0.9999994039535522,891.911376953125,658.9752807617188,0.015195347368717194,885.7059936523438,715.2433471679688,0.1423691064119339,892.67041015625,716.573974609375,0.9959261417388916
24,227.28121948242188,395.21441650390625,0.9999837875366211,836.0670776367188,405.8730163574219,0.9999994039535522,891.5407104492188,658.4777221679688,0.013894700445234776,885.47607421875,715.0847778320312,0.18436144292354584,892.8336791992188,716.223876953125,0.9868752956390381
25,227.39488220214844,395.2813720703125,0.9999827146530151,836.0361328125,405.8730163574219,0.9999994039535522,890.2721557617188,657.2005004882812,0.017290839925408363,884.6183471679688,714.4227294921875,0.4470800757408142,892.9254760742188,715.8262939453125,0.9172834753990173
26,227.5701446533203,395.3671875,0.9999721050262451,836.0361328125,405.8730163574219,0.9999994039535522,888.9035034179688,656.4694213867188,0.018492575734853745,884.412841796875,712.0792236328125,0.23911988735198975,910.434814453125,714.0321655273438,0.7827370762825012
27,227.7205810546875,395.59893798828125,0.9999690055847168,836.0361328125,405.87469482421875,0.9999994039535522,883.7424926757812,654.7169189453125,0.010373069904744625,884.412841796875,710.8030395507812,0.25838616490364075,910.434814453125,712.1185913085938,0.998099148273468
