scorer,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000
bodyparts,woodL,woodL,woodL,woodR,woodR,woodR,neck,neck,neck,Lead,Lead,Lead,Lag,Lag,Lag
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,229.9709014892578,397.2686767578125,0.9999984502792358,834.9774780273438,404.8585510253906,0.9999988079071045,841.8781127929688,415.4227600097656,0.002203163458034396,827.9788208007812,408.36700439453125,0.002143686870113015,828.5848388671875,410.57220458984375,0.0021179032046347857
1,229.97854614257812,397.26934814453125,0.9999985694885254,834.9979248046875,405.0508117675781,0.999998927116394,841.8781127929688,415.42657470703125,0.002363341860473156,827.9913940429688,408.4200439453125,0.002071882365271449,828.6380004882812,410.666015625,0.0020357011817395687
2,230.00619506835938,397.26934814453125,0.9999985694885254,835.02734375,405.1797790527344,0.999998927116394,841.8781127929688,415.42657470703125,0.002566790906712413,889.7936401367188,708.7144165039062,0.0340079627931118,890.5029907226562,709.336669921875,0.5617277026176453
3,230.00619506835938,397.26934814453125,0.9999985694885254,835.0611572265625,405.31353759765625,0.999998927116394,841.8400268554688,415.4227600097656,0.002627934329211712,889.7936401367188,710.3592529296875,0.9117692708969116,890.5029907226562,709.336669921875,0.028938492760062218
4,230.0477752685547,397.26934814453125,0.9999984502792358,835.1232299804688,405.41949462890625,0.999998927116394,841.806396484375,415.4024353027344,0.0027754385955631733,889.7936401367188,715.2569580078125,0.9841442108154297,890.5029907226562,709.336669921875,0.002612709766253829
5,230.05638122558594,397.26727294921875,0.9999984502792358,835.3533935546875,405.5893249511719,0.999998927116394,841.794921875,415.4018859863281,0.002850158838555217,889.7936401367188,715.911865234375,0.9920303821563721,828.7177734375,410.850341796875,0.00206020288169384
6,230.12823486328125,397.26727294921875,0.9999983310699463,835.3533935546875,405.69622802734375,0.999998927116394,841.794921875,415.39825439453125,0.002979283221065998,889.7936401367188,716.210205078125,0.9903353452682495,828.672607421875,410.850341796875,0.0019798881839960814
7,230.12823486328125,397.2771301269531,0.9999984502792358,835.3533935546875,405.7021179199219,0.999998927116394,841.794921875,415.39825439453125,0.0029861165676265955,890.3305053710938,716.210205078125,0.9987402558326721,828.672607421875,410.8266906738281,0.001968089258298278
