scorer,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000
bodyparts,woodL,woodL,woodL,woodR,woodR,woodR,eye,eye,eye,wing,wing,wing,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,ankle,ankle,ankle,sub1,sub1,sub1,sub2,sub2,sub2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
26,519.2935180664062,292.5250244140625,0.999954104423523,681.3426513671875,293.9758605957031,0.9999703168869019,201.8214569091797,516.9495239257812,0.9999996423721313,156.14266967773438,568.6583251953125,0.9999974966049194,523.561767578125,281.6234436035156,0.0007208926836028695,667.3403930664062,643.4363403320312,0.0008561033755540848,160.9364013671875,654.7899780273438,0.5669229030609131,354.711181640625,643.5685424804688,0.9999990463256836,677.60791015625,642.0335083007812,0.9999996423721313
27,519.28076171875,292.5250244140625,0.9999526739120483,681.3934326171875,293.962158203125,0.9999700784683228,202.48468017578125,516.5585327148438,0.9999997615814209,156.82933044433594,568.6296997070312,0.9999977350234985,523.561767578125,281.6234436035156,0.000726123049389571,667.3403930664062,643.4363403320312,0.0008613371173851192,160.98973083496094,654.8391723632812,0.5516489744186401,354.7039794921875,643.5685424804688,0.9999991655349731,677.6609497070312,642.0200805664062,0.9999996423721313
28,519.2935180664062,292.5250244140625,0.9999523162841797,681.3953247070312,293.9320068359375,0.9999697208404541,203.18287658691406,516.29638671875,0.9999997615814209,157.3010711669922,568.6296997070312,0.9999972581863403,523.5626831054688,281.6234436035156,0.0007201802218332887,516.425048828125,286.9075622558594,0.0008654319681227207,160.98973083496094,654.8391723632812,0.5213931798934937,354.6929016113281,643.5685424804688,0.9999991655349731,677.60791015625,642.0200805664062,0.9999996423721313
29,519.2542724609375,292.5204162597656,0.9999531507492065,681.4061279296875,293.92633056640625,0.9999707937240601,203.86026000976562,516.007568359375,0.9999997615814209,157.6079559326172,568.6583251953125,0.9999967813491821,523.5626831054688,281.6243896484375,0.0007225523004308343,516.4249877929688,286.9075622558594,0.0008711792761459947,161.08139038085938,654.8391723632812,0.292528361082077,354.7032165527344,643.5687866210938,0.9999990463256836,677.60791015625,642.05322265625,0.9999996423721313
30,519.27685546875,292.5204162597656,0.9999523162841797,681.4277954101562,293.9102783203125,0.9999716281890869,204.4326171875,515.78759765625,0.9999997615814209,157.9635772705078,568.80126953125,0.9999957084655762,523.5626831054688,281.6243896484375,0.0007185767171904445,516.419677734375,286.90740966796875,0.0008457976509816945,161.6229248046875,654.5638427734375,0.5420723557472229,354.68310546875,643.5687866210938,0.9999990463256836,677.60791015625,642.05322265625,0.9999996423721313
31,519.27685546875,292.5068664550781,0.9999533891677856,681.428466796875,293.90728759765625,0.999971866607666,204.80825805664062,515.656982421875,0.9999997615814209,158.34507751464844,568.80126953125,0.9999946355819702,523.55859375,281.6243896484375,0.0007233438664115965,516.419677734375,286.8807067871094,0.0008479793323203921,161.76763916015625,654.5638427734375,0.591482400894165,354.6670227050781,643.5493774414062,0.9999990463256836,677.6259765625,642.0465698242188,0.9999996423721313
32,519.3075561523438,292.4892883300781,0.9999531507492065,681.428466796875,293.9044494628906,0.9999721050262451,205.10513305664062,515.648193359375,0.9999997615814209,158.89309692382812,568.80126953125,0.9999924898147583,523.55859375,281.625244140625,0.0007300364086404443,516.425048828125,286.90740966796875,0.0008561518625356257,161.76763916015625,654.5638427734375,0.833806574344635,354.6670227050781,643.5493774414062,0.9999990463256836,677.6259765625,642.0465698242188,0.9999996423721313
33,519.27685546875,292.5204162597656,0.9999502897262573,681.4542846679688,293.8703918457031,0.9999722242355347,205.3345489501953,515.5326538085938,0.9999997615814209,159.3913116455078,568.41748046875,0.999992847442627,523.5477905273438,281.6277160644531,0.0007235489902086556,516.419677734375,286.9097900390625,0.0008505928562954068,161.8157501220703,654.7996215820312,0.6281526684761047,354.63531494140625,643.5302124023438,0.9999990463256836,677.6259765625,642.0374755859375,0.9999996423721313
34,519.3096923828125,292.5212707519531,0.9999535083770752,681.46044921875,293.8703918457031,0.9999725818634033,205.55978393554688,515.5326538085938,0.9999997615814209,159.781005859375,568.3141479492188,0.9999938011169434,523.55859375,281.6323547363281,0.0007310848450288177,516.4259643554688,286.9103698730469,0.0008532370557077229,162.10362243652344,655.148681640625,0.7008666396141052,354.6312561035156,643.5302124023438,0.9999990463256836,677.640625,642.0301513671875,0.9999996423721313
35,519.3096923828125,292.4892883300781,0.9999527931213379,681.4867553710938,293.8658447265625,0.9999730587005615,205.740478515625,515.5326538085938,0.9999997615814209,160.0283966064453,568.3141479492188,0.9999945163726807,523.5477905273438,281.625244140625,0.000723959703464061,516.4259643554688,286.9103698730469,0.000837018946185708,162.3789520263672,655.148681640625,0.1391238570213318,354.63531494140625,643.5302124023438,0.9999990463256836,677.6603393554688,642.0064697265625,0.9999996423721313
