scorer,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000
bodyparts,gridL,gridL,gridL,gridR,gridR,gridR,neck,neck,neck
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,279.0744934082031,410.642822265625,0.9999831914901733,513.257568359375,414.7721862792969,0.9999575614929199,283.2354431152344,397.3959655761719,0.0023944335989654064
1,279.0810241699219,410.642822265625,0.9999831914901733,513.336181640625,414.8014831542969,0.9999574422836304,283.2354431152344,397.40704345703125,0.0024368357844650745
2,279.0810241699219,410.642822265625,0.9999833106994629,513.3467407226562,414.8014831542969,0.9999572038650513,283.2354431152344,397.4291076660156,0.0024797464720904827
3,279.0744934082031,410.642822265625,0.9999834299087524,513.3467407226562,414.8014831542969,0.9999589920043945,283.2354431152344,397.4291076660156,0.0025563936214894056
4,279.0744934082031,410.642822265625,0.9999836683273315,513.3467407226562,414.8014831542969,0.9999586343765259,283.2354431152344,397.4291076660156,0.002562349895015359
5,279.0810241699219,410.68756103515625,0.9999836683273315,513.3467407226562,414.8014831542969,0.9999563694000244,283.23614501953125,397.4147033691406,0.0024018087424337864
6,279.0634460449219,410.68756103515625,0.9999829530715942,513.3467407226562,414.8935546875,0.9999568462371826,283.2425537109375,397.4147033691406,0.0024372381158173084
7,279.0634460449219,410.68756103515625,0.9999830722808838,513.3729248046875,414.90045166015625,0.9999567270278931,283.2440185546875,397.4147033691406,0.0024165783543139696
8,279.0701904296875,410.6325378417969,0.9999837875366211,513.3729248046875,414.89813232421875,0.9999579191207886,283.2440185546875,397.42901611328125,0.002459691371768713
9,279.0634460449219,410.6184387207031,0.999983549118042,513.3729248046875,414.90045166015625,0.9999583959579468,283.2440185546875,397.4345703125,0.0024590736720710993
10,279.0599365234375,410.6184387207031,0.9999833106994629,513.3726196289062,414.90045166015625,0.9999580383300781,283.24688720703125,397.4345703125,0.002473304281011224
11,279.0417785644531,410.6184387207031,0.9999836683273315,513.3702392578125,414.9074401855469,0.9999573230743408,283.252685546875,397.4302062988281,0.002471922431141138
12,279.0599365234375,410.64874267578125,0.9999836683273315,513.3702392578125,414.9361572265625,0.999956488609314,283.252685546875,397.42901611328125,0.0024079724680632353
13,279.0599365234375,410.659912109375,0.9999836683273315,513.3726196289062,414.9420471191406,0.9999563694000244,283.2501220703125,397.4252014160156,0.002428530715405941
14,279.06622314453125,410.659912109375,0.9999833106994629,513.370849609375,414.9658508300781,0.9999575614929199,283.2501220703125,397.4219970703125,0.0024688600096851587
15,279.06622314453125,410.659912109375,0.9999833106994629,513.370849609375,414.9420471191406,0.9999566078186035,283.2463684082031,397.4252014160156,0.002405420644208789
16,279.06622314453125,410.6286926269531,0.999983549118042,513.370849609375,414.9420471191406,0.9999568462371826,283.2355041503906,397.4252014160156,0.00244858767837286
17,279.0428466796875,410.6286926269531,0.9999834299087524,513.3635864257812,414.8930969238281,0.999957799911499,283.2355041503906,397.4219970703125,0.0024988518562167883
18,279.0428466796875,410.6286926269531,0.9999839067459106,513.3231201171875,414.8930969238281,0.9999574422836304,283.2355041503906,397.4219970703125,0.002463103039190173
19,279.0428466796875,410.66650390625,0.9999834299087524,513.3231201171875,414.8930969238281,0.9999572038650513,283.250244140625,397.4291076660156,0.0023706238716840744
20,279.0428466796875,410.66650390625,0.999983549118042,513.3231201171875,414.9092712402344,0.9999558925628662,283.250244140625,397.43145751953125,0.0023846784606575966
21,279.0428466796875,410.66650390625,0.999983549118042,513.353759765625,414.9092712402344,0.9999573230743408,283.250244140625,397.43145751953125,0.0024280212819576263
22,279.0488586425781,410.6105041503906,0.9999836683273315,513.3613891601562,414.9102478027344,0.9999574422836304,283.250244140625,397.4336853027344,0.00244648614898324
23,279.04742431640625,410.6105041503906,0.9999836683273315,513.3613891601562,414.9102478027344,0.9999576807022095,283.2525634765625,397.4336853027344,0.0024883777368813753
24,279.0411682128906,410.6105041503906,0.999983549118042,513.3590698242188,414.9102478027344,0.9999567270278931,283.2525634765625,397.4336853027344,0.002470496343448758
25,279.04742431640625,410.67279052734375,0.9999837875366211,513.3590698242188,414.96478271484375,0.9999567270278931,283.2525634765625,397.4239196777344,0.002430215710774064
26,279.0488586425781,410.67535400390625,0.9999837875366211,513.3641967773438,414.99090576171875,0.9999561309814453,283.2530822753906,397.4205627441406,0.0023808609694242477
27,279.0770568847656,410.705810546875,0.9999834299087524,513.37841796875,414.99090576171875,0.9999562501907349,283.2530822753906,397.4195861816406,0.0024497220292687416
28,279.0880126953125,410.705810546875,0.9999833106994629,513.38720703125,414.99090576171875,0.999956488609314,283.2455749511719,397.4195861816406,0.002400655997917056
29,279.0880126953125,410.67535400390625,0.9999833106994629,513.38720703125,414.9728698730469,0.9999569654464722,283.2455749511719,397.4205627441406,0.002442688448354602
30,279.0880126953125,410.5985107421875,0.999983549118042,513.38720703125,414.91180419921875,0.9999580383300781,283.2455749511719,397.4327087402344,0.0024975331034511328
31,279.067626953125,410.5985107421875,0.9999839067459106,513.365966796875,414.8623352050781,0.9999580383300781,283.2431335449219,397.4327087402344,0.002471355488523841
