scorer,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000
bodyparts,gridL,gridL,gridL,gridR,gridR,gridR,neck,neck,neck
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,278.8417053222656,410.4751281738281,0.999984860420227,513.091064453125,414.8723449707031,0.9999524354934692,283.18914794921875,397.42010498046875,0.0022735558450222015
1,278.8505554199219,410.4918518066406,0.9999850988388062,513.1258544921875,414.8907470703125,0.999954342842102,283.191650390625,397.42401123046875,0.002305778907611966
2,278.87603759765625,410.62176513671875,0.999984860420227,513.1258544921875,414.8907470703125,0.9999535083770752,283.2056579589844,397.4393615722656,0.002362579805776477
3,278.87603759765625,410.5845031738281,0.9999847412109375,513.1258544921875,414.8907470703125,0.999951958656311,283.2056579589844,397.4423828125,0.0022853720001876354
4,278.87603759765625,410.5845031738281,0.9999845027923584,513.1122436523438,414.8825378417969,0.9999537467956543,1247.5980224609375,766.6943359375,0.0026194120291620493
5,278.87603759765625,410.5845031738281,0.999984622001648,513.1258544921875,414.8825378417969,0.9999527931213379,1248.5587158203125,770.6719970703125,0.014224845916032791
6,278.8857421875,410.5845031738281,0.999984860420227,513.1173095703125,414.8822937011719,0.9999532699584961,1248.5587158203125,770.6719970703125,0.011994663625955582
7,278.8778076171875,410.5845031738281,0.999984860420227,513.1173095703125,414.8822937011719,0.9999539852142334,1248.5587158203125,770.6719970703125,0.00532588129863143
8,278.8634033203125,410.525146484375,0.999984622001648,513.1173095703125,414.8822937011719,0.9999529123306274,1237.6273193359375,774.9017333984375,0.0023304170463234186
9,278.8634033203125,410.525146484375,0.999984860420227,513.1370849609375,414.85595703125,0.9999533891677856,1236.8304443359375,774.9017333984375,0.002286073286086321
10,278.8634033203125,410.542724609375,0.9999847412109375,513.1292724609375,414.85595703125,0.999954342842102,1235.6065673828125,774.9017333984375,0.03415488824248314
11,278.8634033203125,410.542724609375,0.9999850988388062,513.1292724609375,414.85595703125,0.9999545812606812,1235.6065673828125,775.07080078125,0.1061595156788826
12,278.8634033203125,410.542724609375,0.9999845027923584,513.1292724609375,414.85595703125,0.9999527931213379,1235.6065673828125,775.07080078125,0.07259625941514969
13,278.8758544921875,410.5812072753906,0.999984860420227,513.1292724609375,414.85595703125,0.9999536275863647,1234.10009765625,775.0938110351562,0.05497131869196892
14,278.8758544921875,410.5812072753906,0.9999847412109375,513.1292724609375,414.9162292480469,0.9999520778656006,1231.6328125,775.0938110351562,0.027063073590397835
15,278.8875427246094,410.6125793457031,0.9999847412109375,513.106689453125,414.8544006347656,0.9999537467956543,1231.3511962890625,775.0938110351562,0.01731439307332039
16,278.8938903808594,410.6125793457031,0.999984860420227,513.1301879882812,414.8028869628906,0.999951958656311,1230.2001953125,774.2811279296875,0.01810801960527897
17,278.8938903808594,410.6125793457031,0.999984622001648,513.142578125,414.9162292480469,0.9999537467956543,1224.708740234375,774.1209716796875,0.012592244893312454
18,278.8824157714844,410.6125793457031,0.9999845027923584,513.1301879882812,414.9228210449219,0.9999538660049438,1223.8641357421875,773.7225952148438,0.005205361172556877
19,278.8824157714844,410.6125793457031,0.9999847412109375,513.142578125,414.9228210449219,0.9999524354934692,283.2085266113281,397.4332275390625,0.0022936095483601093
20,278.8824157714844,410.6180725097656,0.999984860420227,513.142578125,414.9228210449219,0.9999520778656006,283.2085266113281,397.4287414550781,0.0023115957155823708
21,278.8824157714844,410.6180725097656,0.9999847412109375,513.135009765625,414.9228210449219,0.9999526739120483,283.2085266113281,397.41876220703125,0.00231874268501997
22,278.90826416015625,410.6520690917969,0.999984622001648,513.0868530273438,414.8733825683594,0.9999536275863647,283.2126770019531,397.42236328125,0.002307887189090252
23,278.90826416015625,410.6520690917969,0.9999847412109375,513.135009765625,414.8733825683594,0.9999548196792603,283.2126770019531,397.42236328125,0.0022393898107111454
24,278.90826416015625,410.6520690917969,0.9999847412109375,513.135009765625,414.8675231933594,0.9999520778656006,283.2126770019531,397.42236328125,0.0022949129343032837
25,278.8835754394531,410.6210021972656,0.9999847412109375,513.1223754882812,414.8675231933594,0.9999539852142334,283.2098388671875,397.42236328125,0.0023469298612326384
26,278.8835754394531,410.6210021972656,0.9999847412109375,513.1223754882812,414.8547058105469,0.9999533891677856,283.2098388671875,397.42236328125,0.0023897066712379456
27,278.8772888183594,410.614013671875,0.9999845027923584,513.1223754882812,414.8547058105469,0.9999533891677856,283.208740234375,397.4217834472656,0.002278857631608844
28,278.869873046875,410.614013671875,0.999984622001648,513.11962890625,414.8547058105469,0.9999545812606812,283.208740234375,397.4187927246094,0.0022665716242045164
29,278.869873046875,410.614013671875,0.999984860420227,513.11962890625,414.8547058105469,0.9999529123306274,283.208740234375,397.4187927246094,0.0022768517956137657
30,278.8539733886719,410.5960693359375,0.999984860420227,513.11962890625,414.8671569824219,0.9999531507492065,283.1876525878906,397.41900634765625,0.0023316957522183657
31,278.8539733886719,410.5960693359375,0.9999849796295166,513.11962890625,414.8671569824219,0.9999536275863647,283.1876525878906,397.41900634765625,0.0023400746285915375
