scorer,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000
bodyparts,gridL,gridL,gridL,gridR,gridR,gridR,neck,neck,neck
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,278.8678894042969,410.5011291503906,0.999984860420227,513.096435546875,414.78485107421875,0.9999535083770752,1238.9906005859375,798.1278686523438,0.005648449994623661
1,278.8678894042969,410.5233459472656,0.999984860420227,513.1231079101562,414.8782043457031,0.9999521970748901,1238.9906005859375,798.6753540039062,0.002512862905859947
2,278.8678894042969,410.5233459472656,0.999984860420227,513.1231079101562,414.8782043457031,0.999953031539917,1238.9906005859375,799.3090209960938,0.003741547232493758
3,278.8450012207031,410.5233459472656,0.9999849796295166,513.1231079101562,414.8999938964844,0.9999527931213379,1238.11083984375,799.3090209960938,0.013422620482742786
4,278.8450012207031,410.5233459472656,0.9999850988388062,513.1157836914062,414.8319396972656,0.9999544620513916,1237.6737060546875,802.1829833984375,0.036911431699991226
5,278.8450012207031,410.5233459472656,0.999984860420227,513.1157836914062,414.8319396972656,0.999953031539917,1232.928955078125,803.0925903320312,0.017009969800710678
6,278.86517333984375,410.52069091796875,0.9999847412109375,513.1157836914062,414.8319396972656,0.9999526739120483,1230.943359375,803.0925903320312,0.005094099324196577
7,278.86517333984375,410.52069091796875,0.9999847412109375,513.1362915039062,414.8203430175781,0.9999538660049438,1229.5892333984375,803.0945434570312,0.002690484281629324
8,278.86517333984375,410.5340881347656,0.9999849796295166,513.1027221679688,414.8203430175781,0.9999535083770752,1228.614990234375,803.4085083007812,0.0023282894399017096
9,278.8504943847656,410.5340881347656,0.9999847412109375,513.1027221679688,414.8103942871094,0.9999550580978394,1228.4482421875,803.4085083007812,0.015305614098906517
10,278.8504943847656,410.5340881347656,0.9999849796295166,513.1362915039062,414.8553771972656,0.9999526739120483,283.20867919921875,397.4554138183594,0.0030261410865932703
11,278.8504943847656,410.5340881347656,0.999984860420227,513.1560668945312,414.9250793457031,0.999951958656311,283.2087707519531,397.4400939941406,0.0022744224406778812
12,278.8684997558594,410.5340881347656,0.9999847412109375,513.1366577148438,414.9250793457031,0.9999526739120483,283.20867919921875,397.4400939941406,0.0022709041368216276
13,278.8735046386719,410.5452880859375,0.9999847412109375,513.1366577148438,414.9151611328125,0.9999544620513916,283.2052917480469,397.436767578125,0.002344695618376136
14,278.8882141113281,410.5452880859375,0.9999849796295166,513.1366577148438,414.9316101074219,0.999954104423523,283.2052917480469,397.436767578125,0.002300273161381483
15,278.8735046386719,410.5452880859375,0.9999847412109375,513.1366577148438,414.9316101074219,0.9999531507492065,283.2070617675781,397.436767578125,0.002305775647982955
16,278.8684997558594,410.5466003417969,0.9999845027923584,513.1366577148438,414.9385070800781,0.999951958656311,283.2057189941406,397.436767578125,0.002285926602780819
17,278.8735046386719,410.5743103027344,0.9999849796295166,513.1069946289062,414.9385070800781,0.9999539852142334,283.2057189941406,397.4300537109375,0.0023031949531286955
18,278.8642272949219,410.5828857421875,0.9999849796295166,513.1412353515625,414.9507141113281,0.9999539852142334,283.2070617675781,397.4300537109375,0.002334116492420435
19,278.8642272949219,410.5743103027344,0.9999847412109375,513.1470947265625,414.9385070800781,0.9999525547027588,283.2057189941406,397.43017578125,0.0023149256594479084
20,278.8642272949219,410.5466003417969,0.9999849796295166,513.1470947265625,414.9272766113281,0.9999535083770752,283.1999206542969,397.4304504394531,0.0022663180716335773
21,278.8642272949219,410.5244445800781,0.9999847412109375,513.1463012695312,414.89654541015625,0.9999529123306274,283.19451904296875,397.4304504394531,0.002310520503669977
22,278.8584899902344,410.5244445800781,0.9999852180480957,513.1463012695312,414.9272766113281,0.999954342842102,283.19451904296875,397.4304504394531,0.0023177778348326683
23,278.8584899902344,410.5244445800781,0.9999849796295166,513.1276245117188,414.89654541015625,0.9999521970748901,283.19451904296875,397.43017578125,0.0022980913054198027
24,278.8584899902344,410.5780334472656,0.9999850988388062,513.0933227539062,414.8535461425781,0.9999518394470215,283.21087646484375,397.42938232421875,0.0022233466152101755
25,278.86041259765625,410.5780334472656,0.9999847412109375,513.0933227539062,414.8346862792969,0.9999536275863647,283.21087646484375,397.42938232421875,0.0022401667665690184
26,278.86041259765625,410.5780334472656,0.999984860420227,513.1162109375,414.8270263671875,0.9999537467956543,283.21087646484375,397.42938232421875,0.002245080191642046
27,278.86041259765625,410.5643005371094,0.999984860420227,513.07861328125,414.8270263671875,0.999954342842102,283.1993408203125,397.4291076660156,0.002306299051269889
28,278.8580017089844,410.5643005371094,0.9999850988388062,513.07861328125,414.8346862792969,0.9999544620513916,283.1993408203125,397.4291076660156,0.0023627933114767075
29,278.8580017089844,410.5643005371094,0.9999850988388062,513.1162109375,414.8346862792969,0.9999511241912842,283.1993408203125,397.4223327636719,0.0022913955617696047
30,278.8580017089844,410.5643005371094,0.999984860420227,513.1162109375,414.8434753417969,0.9999531507492065,283.2044677734375,397.4223327636719,0.0022659136448055506
31,278.8580017089844,410.5643005371094,0.999984860420227,513.1253662109375,414.88336181640625,0.9999531507492065,283.2044677734375,397.4223327636719,0.0022874658461660147
