scorer,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000,DLC_resnet50_LARGESTPOLE_flat_singlelimbFeb15shuffle1_500000
bodyparts,gridL,gridL,gridL,gridR,gridR,gridR,neck,neck,neck
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,278.7188415527344,410.427734375,0.9999850988388062,512.9461669921875,414.8179016113281,0.9999523162841797,283.1758117675781,397.38629150390625,0.002318094251677394
1,278.7188415527344,410.46673583984375,0.999984860420227,512.9461669921875,414.8309631347656,0.9999510049819946,283.1758117675781,397.3902282714844,0.002312518423423171
2,278.7188415527344,410.51300048828125,0.9999849796295166,512.953369140625,414.9239501953125,0.9999525547027588,283.18206787109375,397.3931579589844,0.0023222716990858316
3,278.7188415527344,410.51300048828125,0.999984860420227,512.9590454101562,414.9422607421875,0.9999510049819946,283.18206787109375,397.40228271484375,0.0023502749390900135
4,278.7138977050781,410.5516357421875,0.9999852180480957,512.9590454101562,414.9501037597656,0.9999511241912842,283.1860046386719,397.40228271484375,0.002306172624230385
5,278.708251953125,410.5607604980469,0.9999850988388062,512.9572143554688,414.9552001953125,0.999950647354126,283.1860046386719,397.3931579589844,0.0023201240692287683
6,278.7138977050781,410.57904052734375,0.9999850988388062,512.9572143554688,414.9552001953125,0.99994957447052,283.1887512207031,397.40216064453125,0.002296872204169631
7,278.7144775390625,410.57904052734375,0.9999850988388062,512.9572143554688,414.9754943847656,0.9999504089355469,283.1887512207031,397.40216064453125,0.0023279529996216297
8,278.70855712890625,410.57904052734375,0.9999852180480957,512.94482421875,414.9754943847656,0.9999512434005737,283.1847839355469,397.40216064453125,0.002313073957338929
9,278.70855712890625,410.5233154296875,0.9999849796295166,512.94482421875,414.9201965332031,0.9999514818191528,283.1824645996094,397.40753173828125,0.002335268072783947
10,278.70855712890625,410.5082092285156,0.9999852180480957,512.9073486328125,414.86749267578125,0.9999514818191528,283.18145751953125,397.4136962890625,0.0023241264279931784
11,278.6515197753906,410.5082092285156,0.9999852180480957,512.8947143554688,414.86749267578125,0.999951958656311,283.18145751953125,397.4136962890625,0.002358235651627183
12,278.6515197753906,410.5082092285156,0.9999855756759644,512.8894653320312,414.86749267578125,0.9999513626098633,283.18145751953125,397.4136962890625,0.002317871432751417
13,278.64459228515625,410.55535888671875,0.9999852180480957,512.8760986328125,414.8306579589844,0.9999492168426514,283.1831970214844,397.3896789550781,0.0022963262163102627
14,278.6388244628906,410.55535888671875,0.9999853372573853,512.8735961914062,414.8655700683594,0.9999521970748901,283.1831970214844,397.3896789550781,0.0022615811321884394
15,278.6388244628906,410.55535888671875,0.9999854564666748,512.871337890625,414.8449401855469,0.9999494552612305,283.1831970214844,397.3896789550781,0.002347896806895733
16,278.6328430175781,410.48876953125,0.9999849796295166,512.8731079101562,414.8655700683594,0.9999514818191528,283.1827392578125,397.41326904296875,0.002361530438065529
17,278.6328430175781,410.48876953125,0.9999852180480957,512.8731079101562,414.8655700683594,0.9999507665634155,283.1827392578125,397.41326904296875,0.0023523576091974974
18,278.6388244628906,410.4546813964844,0.9999854564666748,512.8731079101562,414.93707275390625,0.9999496936798096,283.17413330078125,397.41326904296875,0.002360585844144225
19,278.64947509765625,410.4546813964844,0.9999853372573853,512.8894653320312,414.93707275390625,0.9999493360519409,283.17413330078125,397.41326904296875,0.0023342876229435205
20,278.64947509765625,410.4546813964844,0.9999850988388062,512.8986206054688,414.93707275390625,0.9999502897262573,283.17413330078125,397.4133605957031,0.002342507243156433
21,278.65264892578125,410.4546813964844,0.9999853372573853,512.9185791015625,414.93707275390625,0.9999529123306274,283.17413330078125,397.40850830078125,0.0023800907656550407
22,278.65264892578125,410.4546813964844,0.9999853372573853,512.9185791015625,414.8422546386719,0.9999523162841797,283.17413330078125,397.40850830078125,0.002377632539719343
23,278.65264892578125,410.4850769042969,0.9999850988388062,512.9185791015625,414.8422546386719,0.9999507665634155,283.1781311035156,397.4031066894531,0.0023263078182935715
24,278.65264892578125,410.4850769042969,0.999984860420227,512.9185791015625,414.88104248046875,0.9999498128890991,283.1844177246094,397.4031066894531,0.002309867413714528
25,278.6693420410156,410.48681640625,0.9999849796295166,512.935546875,414.906494140625,0.9999510049819946,283.1844177246094,397.4031066894531,0.0023480074014514685
26,278.6903991699219,410.48681640625,0.9999855756759644,512.935546875,414.906494140625,0.9999516010284424,283.1844177246094,397.39501953125,0.00233072554692626
27,278.6903991699219,410.48681640625,0.9999850988388062,512.9356079101562,414.9071350097656,0.9999511241912842,283.1844177246094,397.3971862792969,0.002337353304028511
28,278.6903991699219,410.48681640625,0.9999847412109375,512.9554443359375,414.9071350097656,0.9999505281448364,283.1844177246094,397.4111328125,0.002330255461856723
29,278.6903991699219,410.48681640625,0.9999847412109375,512.9554443359375,414.9071350097656,0.9999518394470215,283.183349609375,397.41021728515625,0.002370876492932439
30,278.66949462890625,410.5230712890625,0.9999850988388062,512.9356079101562,414.9071350097656,0.9999529123306274,283.1857604980469,397.3971862792969,0.0023695561103522778
31,278.66949462890625,410.5230712890625,0.9999852180480957,512.8956298828125,414.86346435546875,0.9999511241912842,283.18450927734375,397.3971862792969,0.0023535864893347025
