scorer,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000
bodyparts,woodL,woodL,woodL,woodR,woodR,woodR,eye,eye,eye,wing,wing,wing,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,ankle,ankle,ankle,sub1,sub1,sub1,sub2,sub2,sub2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
26,520.4854125976562,291.77435302734375,0.9999406337738037,680.9146118164062,294.23822021484375,0.9999661445617676,345.7287292480469,641.9953002929688,0.0015156074659898877,524.6154174804688,288.3189697265625,0.0007549008005298674,667.8622436523438,636.9696044921875,0.0006601903587579727,667.8218383789062,643.2003784179688,0.0010852364357560873,525.3466796875,281.5722351074219,0.002008132403716445,355.2065124511719,642.077392578125,0.9999986886978149,678.8411865234375,641.5375366210938,0.9999997615814209
27,520.462158203125,291.77435302734375,0.9999428987503052,680.9068603515625,294.2499694824219,0.9999653100967407,345.7287292480469,641.9953002929688,0.001554398681037128,524.6154174804688,288.3136901855469,0.0007357373251579702,667.8632202148438,636.9696044921875,0.0006362585118040442,667.8218383789062,643.2003784179688,0.0010447725653648376,525.352294921875,281.56317138671875,0.0019677146337926388,355.2071838378906,642.0776977539062,0.9999988079071045,678.8411865234375,641.5375366210938,0.9999996423721313
28,520.4609375,291.7575378417969,0.9999418258666992,680.9068603515625,294.2499694824219,0.999967098236084,345.7287292480469,641.9996948242188,0.0015435118693858385,524.6154174804688,288.3056640625,0.000747022801078856,667.8632202148438,636.9696044921875,0.0006648942362517118,667.8218383789062,643.2003784179688,0.0011024478590115905,525.3460693359375,281.56317138671875,0.001975626451894641,355.21441650390625,642.077392578125,0.9999988079071045,678.8411865234375,641.5375366210938,0.9999997615814209
29,520.4220581054688,291.7485046386719,0.9999395608901978,680.9146118164062,294.2499694824219,0.9999654293060303,345.7287292480469,641.9996948242188,0.001560141914524138,524.6143798828125,288.3056640625,0.0007526159170083702,667.8632202148438,636.9696044921875,0.0006232400774024427,667.8218383789062,643.2029418945312,0.0010202141711488366,525.3460693359375,281.56317138671875,0.0020083216950297356,355.21441650390625,642.0776977539062,0.9999988079071045,678.855224609375,641.5390014648438,0.9999997615814209
30,520.4220581054688,291.7485046386719,0.9999384880065918,680.915283203125,294.2499694824219,0.9999651908874512,345.722412109375,641.9996948242188,0.0015372239286080003,524.6143798828125,288.3044738769531,0.0007892959984019399,667.8602294921875,636.9696044921875,0.0006520336610265076,667.8050537109375,643.2029418945312,0.0010880526388064027,525.352294921875,281.56317138671875,0.002077617449685931,355.21441650390625,642.0776977539062,0.9999986886978149,678.8411865234375,641.5375366210938,0.9999997615814209
31,520.4220581054688,291.7290954589844,0.9999380111694336,680.8914184570312,294.2499694824219,0.9999663829803467,345.7195739746094,641.9955444335938,0.0014913837658241391,524.6143798828125,288.2926330566406,0.0007855509757064283,667.8602294921875,636.9652099609375,0.0006638254271820188,667.8050537109375,643.2029418945312,0.0010890875710174441,525.3253173828125,281.5555725097656,0.002067452296614647,355.19024658203125,642.0776977539062,0.9999986886978149,678.855224609375,641.5437622070312,0.9999997615814209
32,520.4220581054688,291.7290954589844,0.9999411106109619,680.8914184570312,294.24700927734375,0.9999656677246094,345.7144775390625,641.980224609375,0.0015524175250902772,524.6107788085938,288.29150390625,0.0007585497223772109,667.8602294921875,636.9636840820312,0.0006459649885073304,667.8050537109375,643.1927490234375,0.0010770551161840558,525.3220825195312,281.5555725097656,0.0020276708528399467,355.19024658203125,642.1016235351562,0.9999988079071045,678.855224609375,641.5300903320312,0.9999997615814209
33,520.4661865234375,291.76104736328125,0.9999399185180664,680.8890991210938,294.24560546875,0.9999653100967407,345.7144775390625,641.980224609375,0.0015658328775316477,524.6194458007812,288.2926330566406,0.0007786934729665518,667.8602294921875,636.9636840820312,0.0006535723223350942,667.814697265625,643.18408203125,0.001042004325427115,525.3220825195312,281.5555725097656,0.002055818447843194,355.19024658203125,642.1016235351562,0.9999986886978149,678.855224609375,641.5437622070312,0.9999997615814209
34,520.4661865234375,291.76104736328125,0.9999386072158813,680.8836669921875,294.24560546875,0.9999659061431885,345.7161865234375,641.9955444335938,0.001489995396696031,524.6194458007812,288.2926330566406,0.000784986827056855,667.8795166015625,636.9636840820312,0.0006547733210027218,667.8209838867188,643.18408203125,0.0011088247410953045,525.3395385742188,281.5555725097656,0.0020631705410778522,355.19842529296875,642.1179809570312,0.9999988079071045,678.8369750976562,641.5527954101562,0.9999997615814209
35,520.4661865234375,291.7578125,0.9999403953552246,680.8836669921875,294.24505615234375,0.9999649524688721,345.7161865234375,642.0031127929688,0.0015239379135891795,524.6180419921875,288.2926330566406,0.0007556936470791698,667.8795166015625,636.9761352539062,0.0006554226856678724,667.8209838867188,643.18408203125,0.0010665932204574347,525.3216552734375,281.5666198730469,0.0020028892904520035,355.19842529296875,642.108642578125,0.9999988079071045,678.8369750976562,641.5527954101562,0.9999997615814209
36,520.4700317382812,291.77166748046875,0.9999383687973022,680.8890991210938,294.24505615234375,0.9999655485153198,345.7182922363281,642.0031127929688,0.0015276020858436823,524.6180419921875,288.3047790527344,0.0007753880927339196,667.863525390625,636.9761352539062,0.0006542594055645168,667.8240966796875,643.18408203125,0.0010660396656021476,525.3395385742188,281.57623291015625,0.0020419133361428976,355.19842529296875,642.108642578125,0.9999988079071045,678.8167724609375,641.5511474609375,0.9999997615814209
37,520.4741821289062,291.7685546875,0.9999417066574097,680.8964233398438,294.2398986816406,0.9999656677246094,345.7214050292969,642.0031127929688,0.0015453544910997152,524.6194458007812,288.3078918457031,0.0007722441805526614,667.863525390625,636.9761352539062,0.0006627956754527986,667.8240356445312,643.1917114257812,0.0010735946707427502,525.3460083007812,281.5682678222656,0.002030056668445468,355.24267578125,642.108642578125,0.9999988079071045,678.8167724609375,641.5548095703125,0.9999997615814209
38,520.4741821289062,291.7685546875,0.9999406337738037,680.9231567382812,294.2451477050781,0.999966025352478,345.725830078125,641.9984130859375,0.0015175410080701113,524.6233520507812,288.314697265625,0.0007569321896880865,667.863525390625,636.9761352539062,0.0006635509198531508,667.8267822265625,643.1950073242188,0.001103406073525548,525.3460083007812,281.5715637207031,0.0020215134136378765,355.24267578125,642.108642578125,0.9999986886978149,678.826904296875,641.5548095703125,0.9999997615814209
39,520.4741821289062,291.7878112792969,0.9999426603317261,680.9231567382812,294.2451477050781,0.9999665021896362,345.7299499511719,641.9876098632812,0.0015059291617944837,524.6233520507812,288.31658935546875,0.0007645293953828514,667.863525390625,636.973388671875,0.0006481965538114309,667.8240356445312,643.2029418945312,0.001042176503688097,525.3460083007812,281.57623291015625,0.0020184144377708435,355.23577880859375,642.100830078125,0.9999988079071045,678.826904296875,641.5511474609375,0.9999997615814209
40,520.4700317382812,291.7878112792969,0.9999408721923828,680.8972778320312,294.2451477050781,0.9999659061431885,345.725830078125,641.9833984375,0.0015159097965806723,524.6233520507812,288.314697265625,0.0007573860348202288,667.8549194335938,636.973388671875,0.0006621923530474305,667.8267822265625,643.2037353515625,0.001093379920348525,525.3460083007812,281.59619140625,0.0019989698193967342,355.24267578125,642.100830078125,0.9999986886978149,678.8905639648438,641.5502319335938,0.9999997615814209
41,520.456298828125,291.7878112792969,0.9999386072158813,680.910400390625,294.2578430175781,0.9999659061431885,345.725830078125,641.9876098632812,0.0015248946147039533,524.6220092773438,288.314697265625,0.0007888937252573669,667.8606567382812,636.9745483398438,0.0006444458849728107,667.8240356445312,643.2037353515625,0.001042333897203207,525.3450317382812,281.6016540527344,0.0020636613480746746,355.24267578125,642.1288452148438,0.9999988079071045,678.8905639648438,641.5502319335938,0.9999997615814209
42,520.4392700195312,291.7878112792969,0.9999383687973022,680.8972778320312,294.2578430175781,0.999966025352478,345.7232360839844,641.9757080078125,0.0015674931928515434,524.6220092773438,288.3116455078125,0.000765207689255476,667.8549194335938,636.9796142578125,0.0006293667829595506,667.8209228515625,643.2047729492188,0.0010505078826099634,525.3450317382812,281.6016540527344,0.002035698387771845,355.23577880859375,642.100830078125,0.9999988079071045,678.8321533203125,641.5502319335938,0.9999997615814209
43,520.4392700195312,291.7864685058594,0.9999384880065918,680.8871459960938,294.2447509765625,0.9999659061431885,345.7232360839844,641.9730224609375,0.001584073412232101,524.6220092773438,288.2975158691406,0.0007602974073961377,667.8606567382812,636.9796142578125,0.0006655320175923407,667.8209228515625,643.2037353515625,0.0010797616560012102,525.34326171875,281.6016540527344,0.0020223273895680904,355.2101135253906,642.1211547851562,0.9999988079071045,678.8321533203125,641.5502319335938,0.9999997615814209
44,520.4392700195312,291.7862854003906,0.9999408721923828,680.8871459960938,294.2405090332031,0.9999654293060303,345.7232360839844,641.9757080078125,0.001481593237258494,524.6220092773438,288.2925720214844,0.0007581756799481809,667.8519897460938,636.9796142578125,0.0006605324451811612,667.8114624023438,643.195556640625,0.001098236651159823,525.34326171875,281.57684326171875,0.0020231958478689194,355.2030334472656,642.1211547851562,0.9999986886978149,678.8321533203125,641.5429077148438,0.9999997615814209
45,520.456298828125,291.78521728515625,0.9999414682388306,680.8871459960938,294.23504638671875,0.9999663829803467,345.7327880859375,641.9915161132812,0.0015072835376486182,524.6221923828125,288.2925720214844,0.0007706606411375105,667.8519897460938,636.9813232421875,0.0006563034257851541,667.80908203125,643.1934814453125,0.00106262625195086,525.34033203125,281.5672607421875,0.0020601851865649223,355.189208984375,642.1082763671875,0.9999986886978149,678.826416015625,641.53857421875,0.9999997615814209
46,520.47265625,291.78521728515625,0.9999387264251709,680.8861083984375,294.23504638671875,0.9999644756317139,345.7327880859375,641.9818115234375,0.0015261686639860272,524.6221923828125,288.30828857421875,0.000777634559199214,667.8510131835938,636.9799194335938,0.0006526037468574941,667.806884765625,643.195556640625,0.0010821435134857893,525.34033203125,281.5672607421875,0.0020471778698265553,355.189208984375,642.1002197265625,0.9999986886978149,678.812744140625,641.5579223632812,0.9999997615814209
47,520.47265625,291.78521728515625,0.9999418258666992,680.8861083984375,294.23504638671875,0.9999663829803467,345.7327880859375,641.9879150390625,0.0015641282079741359,524.6153564453125,288.30828857421875,0.0007335742702707648,667.8513793945312,636.9799194335938,0.0006454634713009,667.806884765625,643.195556640625,0.0010555107146501541,525.340087890625,281.5689697265625,0.0019432775443419814,355.169189453125,642.1002197265625,0.9999986886978149,678.813720703125,641.5265502929688,0.9999997615814209
48,520.4826049804688,291.7434997558594,0.999942421913147,680.8919677734375,294.23504638671875,0.9999657869338989,345.7327880859375,641.9879150390625,0.0015540043823421001,524.6153564453125,288.31304931640625,0.0007367756334133446,667.8513793945312,636.9729614257812,0.0006765762227587402,667.806884765625,643.1948852539062,0.0011098581599071622,525.34033203125,281.5672607421875,0.00197093584574759,355.169189453125,642.0999755859375,0.9999988079071045,678.813720703125,641.5265502929688,0.9999997615814209
49,520.4826049804688,291.7835998535156,0.9999393224716187,680.90234375,294.225830078125,0.9999661445617676,345.71697998046875,641.9879150390625,0.0015590258408337831,524.6153564453125,288.31304931640625,0.0007886625826358795,667.8513793945312,636.9799194335938,0.0006527664372697473,667.815673828125,643.1963500976562,0.00109466805588454,525.34033203125,281.5689697265625,0.002053523901849985,355.1891174316406,642.0885009765625,0.9999986886978149,678.813720703125,641.5498046875,0.9999997615814209
50,520.4400634765625,291.7835998535156,0.9999419450759888,680.8919677734375,294.2284240722656,0.9999659061431885,345.71649169921875,641.9818115234375,0.0015635391464456916,524.6079711914062,288.319091796875,0.0007561877719126642,667.8524780273438,636.9799194335938,0.0006581982597708702,667.815673828125,643.1986694335938,0.0010599938686937094,525.3489990234375,281.5748291015625,0.0019968647975474596,355.2424621582031,642.0656127929688,0.9999986886978149,678.813720703125,641.5564575195312,0.9999997615814209
51,520.4400634765625,291.7434997558594,0.9999387264251709,680.91162109375,294.2284240722656,0.9999662637710571,345.71649169921875,641.9879150390625,0.0015110241947695613,524.6079711914062,288.319091796875,0.000765238655731082,667.8602905273438,636.9729614257812,0.0006459640571847558,667.815673828125,643.1986694335938,0.0010506093967705965,525.3368530273438,281.5748291015625,0.0020591344218701124,355.2457275390625,642.0656127929688,0.9999986886978149,678.813720703125,641.5498046875,0.9999997615814209
52,520.430419921875,291.7835998535156,0.9999402761459351,680.91162109375,294.2399597167969,0.9999657869338989,345.71649169921875,641.978271484375,0.0015173533465713263,524.6104736328125,288.2923583984375,0.0007543025421909988,667.86328125,636.9815063476562,0.0006831754581071436,667.815673828125,643.1963500976562,0.0011295160511508584,525.3489990234375,281.58416748046875,0.001992222387343645,355.2457275390625,642.0812377929688,0.9999986886978149,678.8158569335938,641.5564575195312,0.9999997615814209
