scorer,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000
bodyparts,bartop,bartop,bartop,barbot,barbot,barbot,eye,eye,eye,wing,wing,wing,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,ankle,ankle,ankle,sub1,sub1,sub1,sub2,sub2,sub2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,1119.50244140625,217.43710327148438,0.9999434947967529,1111.681884765625,372.63372802734375,0.9999618530273438,814.3310546875,576.0093994140625,0.9999995231628418,842.845947265625,625.4229736328125,0.9999978542327881,888.822265625,714.1111450195312,0.9999831914901733,872.2381591796875,771.6586303710938,0.9999967813491821,828.5240478515625,682.9694213867188,0.9999977350234985,719.4254150390625,482.65966796875,0.9999991655349731,754.5612182617188,556.2697143554688,0.9999991655349731
9,1119.5223388671875,217.43453979492188,0.9999418258666992,1111.681884765625,372.49530029296875,0.9999579191207886,814.3310546875,575.714599609375,0.9999994039535522,842.845947265625,625.1432495117188,0.9999969005584717,888.5154418945312,714.1123657226562,0.9999818801879883,871.870361328125,771.3949584960938,0.9999955892562866,828.7059936523438,682.9694213867188,0.9999977350234985,719.4254150390625,482.55975341796875,0.9999991655349731,754.5612182617188,556.2457275390625,0.9999991655349731
10,1119.5223388671875,217.43453979492188,0.999940037727356,1111.681884765625,372.4446105957031,0.9999532699584961,814.3310546875,575.5870971679688,0.9999994039535522,842.8826904296875,624.8705444335938,0.9999961853027344,888.4917602539062,714.255859375,0.9999794960021973,871.8070678710938,771.3349609375,0.9999946355819702,828.9581909179688,683.0225830078125,0.9999977350234985,719.4486694335938,482.55975341796875,0.9999991655349731,754.5612182617188,556.2457275390625,0.9999991655349731
11,1119.5223388671875,217.43453979492188,0.999937891960144,1111.67822265625,372.4286804199219,0.9999617338180542,814.2406005859375,575.505615234375,0.9999992847442627,842.9078369140625,624.7860107421875,0.9999961853027344,888.4917602539062,714.407470703125,0.9999799728393555,871.7125244140625,771.3013305664062,0.9999948740005493,828.9596557617188,683.03857421875,0.9999977350234985,719.4376220703125,482.55975341796875,0.9999991655349731,754.5612182617188,556.2457275390625,0.9999991655349731
12,1119.5223388671875,217.43453979492188,0.9999325275421143,1111.67822265625,372.3693542480469,0.9999635219573975,814.227783203125,575.411865234375,0.9999992847442627,843.3673706054688,624.7169799804688,0.9999954700469971,888.4917602539062,714.5762329101562,0.999983549118042,871.621337890625,771.1895141601562,0.9999953508377075,829.1478271484375,683.112548828125,0.9999974966049194,719.4376220703125,482.5843811035156,0.9999991655349731,754.568359375,556.347412109375,0.9999991655349731
13,1119.5223388671875,217.43453979492188,0.9999325275421143,1111.67822265625,372.3693542480469,0.999964714050293,814.2218017578125,575.3134765625,0.9999992847442627,843.3673706054688,624.6586303710938,0.9999943971633911,888.4917602539062,714.5762329101562,0.9999855756759644,871.621337890625,771.1311645507812,0.9999953508377075,829.3262329101562,683.1213989257812,0.9999971389770508,719.4486694335938,482.5843811035156,0.9999991655349731,754.568359375,556.347412109375,0.9999991655349731
14,1119.598388671875,217.36807250976562,0.9999375343322754,1111.819091796875,372.2342224121094,0.9999610185623169,814.2098388671875,575.1239624023438,0.9999990463256836,843.3673706054688,624.5301513671875,0.9999934434890747,888.4917602539062,714.5762329101562,0.9999885559082031,871.6022338867188,771.1126708984375,0.999995231628418,829.3717651367188,683.1558227539062,0.9999971389770508,719.5362548828125,482.5843811035156,0.9999991655349731,754.599365234375,556.347412109375,0.9999991655349731
15,1119.64013671875,217.25973510742188,0.9999387264251709,1111.9571533203125,372.0666809082031,0.9999576807022095,814.0152587890625,574.8765258789062,0.9999990463256836,843.3211669921875,624.2597045898438,0.9999922513961792,888.4005126953125,714.5326538085938,0.9999864101409912,871.5686645507812,770.9371948242188,0.9999949932098389,829.5994873046875,683.1558227539062,0.9999971389770508,719.5685424804688,482.45794677734375,0.9999990463256836,754.6130981445312,556.2499389648438,0.9999991655349731
16,1119.7161865234375,217.25973510742188,0.999944806098938,1111.9571533203125,372.0484313964844,0.9999566078186035,813.9557495117188,574.8167114257812,0.9999990463256836,843.266357421875,624.2597045898438,0.9999918937683105,887.8338012695312,714.4459838867188,0.9999805688858032,871.5686645507812,770.8910522460938,0.9999946355819702,829.5994873046875,683.1679077148438,0.9999971389770508,719.5685424804688,482.45794677734375,0.9999990463256836,754.6130981445312,556.2499389648438,0.9999991655349731
17,1119.716552734375,217.25973510742188,0.9999489784240723,1111.9571533203125,372.02557373046875,0.9999581575393677,813.9168090820312,574.8167114257812,0.9999991655349731,843.01708984375,624.1630249023438,0.9999916553497314,887.6729125976562,714.086181640625,0.9999794960021973,871.2556762695312,770.8880004882812,0.9999943971633911,829.5994873046875,683.1961059570312,0.9999971389770508,719.5685424804688,482.45794677734375,0.9999990463256836,754.599365234375,556.2499389648438,0.9999991655349731
