scorer,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000
bodyparts,snout,snout,snout,glenoid,glenoid,glenoid,elbow,elbow,elbow,wrist,wrist,wrist,hip,hip,hip,knee,knee,knee,ankle,ankle,ankle,vent,vent,vent
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,346.7638854980469,454.16058349609375,0.999942421913147,145.4837188720703,458.7046813964844,0.9999951124191284,45.545806884765625,477.730224609375,0.9999419450759888,122.15898895263672,589.955810546875,0.9998420476913452,348.88653564453125,459.1089172363281,0.002501017414033413,45.63856887817383,475.8566589355469,0.012517105787992477,120.04560089111328,589.0152587890625,0.0028804359026253223,351.58837890625,459.37310791015625,0.0020171075593680143
9,351.1526184082031,456.09039306640625,0.9999265670776367,148.56719970703125,459.23583984375,0.9999943971633911,47.1122932434082,476.1116027832031,0.9999313354492188,122.15898895263672,589.7733764648438,0.9998276233673096,349.25408935546875,459.1089172363281,0.0032557579688727856,49.03494644165039,474.74053955078125,0.007119965273886919,120.08525085449219,588.8363037109375,0.004789740312844515,352.10382080078125,459.37310791015625,0.004453849978744984
10,351.3072509765625,456.19708251953125,0.9999173879623413,148.7178955078125,459.28717041015625,0.9999942779541016,47.13947296142578,475.7225036621094,0.9999443292617798,122.09483337402344,589.6317749023438,0.9998471736907959,349.34783935546875,459.173828125,0.0029143874999135733,49.23535919189453,474.3587951660156,0.005431369412690401,120.08525085449219,588.7377319335938,0.0058954013511538506,352.10382080078125,459.5765075683594,0.004307955503463745
11,355.911376953125,457.5383605957031,0.9999852180480957,151.19699096679688,459.974609375,0.9999908208847046,50.058380126953125,475.166259765625,0.9999768733978271,122.01151275634766,589.4913940429688,0.9998841285705566,363.9684753417969,460.8661804199219,0.0024955570697784424,51.66539764404297,474.12579345703125,0.006634642370045185,120.08525085449219,588.3367309570312,0.005213011521846056,352.3688659667969,459.5765075683594,0.0035598017275333405
12,356.0860595703125,458.42108154296875,0.9999812841415405,151.2840576171875,460.3503723144531,0.9999896287918091,50.110328674316406,474.7820739746094,0.9999600648880005,121.95063018798828,589.1473999023438,0.9999051094055176,364.010498046875,460.88897705078125,0.0026242227759212255,51.67474365234375,473.6847229003906,0.008943675085902214,119.80294799804688,588.2830810546875,0.004331257194280624,352.427490234375,459.37310791015625,0.0037222460377961397
13,360.1173400878906,459.9621276855469,0.9998847246170044,153.7953338623047,461.81329345703125,0.9999667406082153,53.250675201416016,472.7810974121094,0.9999659061431885,121.74883270263672,588.8495483398438,0.9999256134033203,364.5521545410156,461.5395812988281,0.0027022978756576777,57.10445022583008,473.6847229003906,0.005467936396598816,119.5242919921875,588.2059326171875,0.004122824873775244,367.938232421875,459.80975341796875,0.0021159611642360687
14,360.12286376953125,460.0198974609375,0.9998863935470581,153.82647705078125,461.81787109375,0.9999672174453735,53.27724838256836,472.75244140625,0.9999638795852661,121.6709213256836,588.7739868164062,0.9999165534973145,364.5731506347656,461.5433044433594,0.002724992809817195,57.12159729003906,474.12579345703125,0.005061606876552105,119.50817108154297,588.1992797851562,0.004221856128424406,367.938232421875,459.7762451171875,0.002170189283788204
15,365.6789245605469,462.904052734375,0.9999016523361206,158.03028869628906,462.47491455078125,0.9999381303787231,55.90235137939453,471.2665100097656,0.9999630451202393,121.6709213256836,588.7739868164062,0.999900221824646,376.64288330078125,460.9996337890625,0.0025169500149786472,122.35578155517578,586.6204223632812,0.0039323484525084496,119.50817108154297,587.97119140625,0.00702354172244668,367.938232421875,459.7762451171875,0.002519110683351755
16,365.8603515625,462.98858642578125,0.9999116659164429,158.0686492919922,462.5142517089844,0.999933123588562,55.94276428222656,471.20166015625,0.9999390840530396,121.74883270263672,588.8495483398438,0.9998759031295776,376.74822998046875,460.9996337890625,0.0024956949055194855,122.4796371459961,586.8013305664062,0.004339119419455528,119.50817108154297,587.9476318359375,0.01033065840601921,367.9220886230469,459.80975341796875,0.0023933700285851955
17,370.92010498046875,465.082275390625,0.9999610185623169,161.38546752929688,463.8146667480469,0.9999951124191284,59.580753326416016,469.5340270996094,0.9999934434890747,122.24410247802734,588.97509765625,0.9999387264251709,378.09698486328125,461.7813415527344,0.0017822362715378404,122.75872802734375,586.9466552734375,0.004159507807344198,122.08109283447266,587.9295654296875,0.007147006690502167,115.99430847167969,582.8455810546875,0.0018828687025234103
18,370.9446716308594,465.0978088378906,0.9999490976333618,161.407470703125,463.84869384765625,0.9999949932098389,59.59098434448242,469.5107116699219,0.9999939203262329,122.24410247802734,588.97509765625,0.9999394416809082,378.1461181640625,461.7813415527344,0.0016085491515696049,122.75872802734375,586.9563598632812,0.00413084402680397,122.08109283447266,587.9295654296875,0.006894798018038273,115.93983459472656,582.8914184570312,0.0018326968420296907
19,375.76544189453125,466.46893310546875,0.9999876022338867,164.9763641357422,465.3118591308594,0.9999970197677612,63.868900299072266,467.44287109375,0.9999970197677612,122.24410247802734,588.97509765625,0.9999556541442871,380.2373962402344,473.5740661621094,0.002273316727951169,122.82975006103516,586.9563598632812,0.003353928215801716,122.08109283447266,587.9295654296875,0.004274358972907066,115.93983459472656,582.8914184570312,0.001675259554758668
20,375.7723693847656,466.58349609375,0.9999865293502808,165.00473022460938,465.3661193847656,0.9999971389770508,63.899208068847656,467.4414978027344,0.9999970197677612,122.1728744506836,588.8038330078125,0.9999524354934692,380.2513122558594,473.5740661621094,0.002214654814451933,122.83705139160156,586.9466552734375,0.003413359634578228,121.99685668945312,587.7283325195312,0.004967404063791037,115.93983459472656,582.8914184570312,0.0017118701944127679
21,382.5967712402344,468.80560302734375,0.9999725818634033,169.43109130859375,465.7259216308594,0.9999920129776001,67.86892700195312,465.88714599609375,0.9999988079071045,122.1728744506836,588.2565307617188,0.999946117401123,381.8082580566406,475.2262878417969,0.0028299971017986536,122.75872802734375,480.9749755859375,0.004128033760935068,121.99685668945312,587.6918334960938,0.004631553310900927,383.171875,477.4698181152344,0.004453691653907299
22,382.7398376464844,468.8056945800781,0.9999713897705078,169.53810119628906,465.9853515625,0.9999915361404419,67.92577362060547,465.8427734375,0.999998927116394,122.12179565429688,588.1470947265625,0.9999452829360962,381.8675537109375,475.2262878417969,0.002897205064073205,379.87799072265625,473.2729187011719,0.004115892108529806,121.99685668945312,587.5505981445312,0.004438052419573069,383.1763610839844,477.3779296875,0.0047748759388923645
23,387.9042053222656,471.1461181640625,0.999992847442627,173.6092071533203,467.45928955078125,0.9999921321868896,71.9850845336914,464.5194091796875,0.9999216794967651,122.12179565429688,588.0758666992188,0.9999256134033203,381.8675537109375,477.48358154296875,0.0029928984586149454,379.87799072265625,473.2729187011719,0.006202006246894598,122.02317810058594,587.161865234375,0.00800642091780901,383.2041320800781,474.1117248535156,0.003996404353529215
24,387.9246826171875,471.2046203613281,0.9999934434890747,173.6912384033203,467.5073547363281,0.9999922513961792,72.02572631835938,464.4794006347656,0.999935507774353,122.31414031982422,588.0526733398438,0.9999178647994995,381.8082580566406,477.5235900878906,0.00304008019156754,40.96760940551758,479.7804870605469,0.0061155748553574085,122.3465576171875,587.1312255859375,0.007427331991493702,383.26251220703125,474.0205078125,0.004011874552816153
25,394.16571044921875,472.6892395019531,0.9997846484184265,177.70538330078125,469.3506774902344,0.9999923706054688,76.53160858154297,464.4058532714844,0.9999419450759888,122.31414031982422,587.8851318359375,0.9999418258666992,-0.14192914962768555,478.1853332519531,0.018590806052088737,1.9747960567474365,479.7804870605469,0.016506332904100418,122.34696197509766,587.1312255859375,0.00776887871325016,399.82012939453125,476.987060546875,0.0029548807069659233
26,394.3414611816406,472.8390808105469,0.9997968077659607,177.7243194580078,469.4540710449219,0.9999923706054688,76.67322540283203,463.9765319824219,0.9999821186065674,122.23385620117188,587.6902465820312,0.9999372959136963,-0.14192914962768555,478.2098083496094,0.009027737192809582,1.9747960567474365,478.94720458984375,0.014189683832228184,122.39363861083984,587.029541015625,0.008997984230518341,399.8750915527344,476.9776611328125,0.0030437675304710865
27,399.4891662597656,474.939208984375,0.9999064207077026,181.99708557128906,471.6399230957031,0.9999902248382568,81.49003601074219,462.8091735839844,0.9999942779541016,122.23385620117188,587.6073608398438,0.9999263286590576,-0.14192914962768555,478.4117126464844,0.00726414704695344,0.9197585582733154,478.94720458984375,0.040468595921993256,122.39363861083984,586.9865112304688,0.004472040105611086,399.8750915527344,476.9776611328125,0.0024215667508542538
28,399.5263671875,475.0387878417969,0.9999048709869385,182.0457000732422,471.6448669433594,0.9999891519546509,81.54090118408203,462.5801086425781,0.9999932050704956,122.21279907226562,587.586181640625,0.9999083280563354,-0.11243724822998047,478.5520324707031,0.007701708469539881,1.0249927043914795,478.9421081542969,0.041346125304698944,122.34696197509766,586.945068359375,0.0064156558364629745,399.82012939453125,476.987060546875,0.002462207106873393
29,413.1115417480469,477.0513610839844,0.9929147958755493,186.58969116210938,474.4483947753906,0.9999890327453613,86.23460388183594,462.4081726074219,0.9999873638153076,121.84703063964844,587.3223266601562,0.9999099969863892,-0.11243724822998047,483.48095703125,0.004058689810335636,1.4449996948242188,478.65167236328125,0.028809495270252228,119.93357849121094,586.1375122070312,0.007232024800032377,399.82012939453125,491.26123046875,0.0024754214100539684
30,413.4830627441406,477.0513610839844,0.9952906370162964,186.60166931152344,474.4486999511719,0.9999886751174927,86.27385711669922,462.4081726074219,0.9999901056289673,121.59536743164062,587.161376953125,0.9999221563339233,-0.11243724822998047,483.5391845703125,0.004033247474581003,1.2436401844024658,478.6090393066406,0.033594366163015366,119.7199935913086,586.0150146484375,0.004917501006275415,399.8750915527344,491.26123046875,0.002528824843466282
31,416.6484069824219,479.4544982910156,0.9998923540115356,191.86338806152344,476.7632751464844,0.9999804496765137,92.08564758300781,461.3542785644531,0.9999823570251465,121.59536743164062,587.161376953125,0.999920129776001,-0.6285686492919922,484.1511535644531,0.005541753955185413,1.0249927043914795,478.6090393066406,0.07450621575117111,119.7199935913086,586.0150146484375,0.007807111367583275,1.8472075462341309,491.2745056152344,0.004133068956434727
32,416.766357421875,479.62823486328125,0.9998674392700195,192.00144958496094,477.0519104003906,0.9999785423278809,92.13487243652344,461.1912841796875,0.9999845027923584,121.84703063964844,587.2493286132812,0.999916672706604,-0.7473387718200684,484.35760498046875,0.0043459702283144,1.0249927043914795,478.6090393066406,0.05004970729351044,119.93357849121094,586.1375122070312,0.008087875321507454,1.8472075462341309,491.4032287597656,0.0040807765908539295
33,422.0492248535156,482.6151123046875,0.9999799728393555,196.4336700439453,480.52587890625,0.9999878406524658,97.13871002197266,461.1912841796875,0.9999923706054688,121.84703063964844,587.2493286132812,0.9999114274978638,-0.7473387718200684,484.3783874511719,0.0037117095198482275,1.2436401844024658,479.6519775390625,0.005927280988544226,121.14688110351562,586.7234497070312,0.008563478477299213,413.6202697753906,491.72918701171875,0.004583896603435278
34,422.5307922363281,482.9706726074219,0.9999829530715942,196.45419311523438,480.5291442871094,0.9999877214431763,97.14751434326172,461.3542785644531,0.9999943971633911,121.59536743164062,587.161376953125,0.9999079704284668,-0.7473387718200684,486.5047302246094,0.0033140727318823338,1.2436401844024658,479.68328857421875,0.006486763712018728,121.14688110351562,586.7234497070312,0.0074219973757863045,413.6202697753906,491.72918701171875,0.00412205932661891
