scorer,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000
bodyparts,woodL,woodL,woodL,woodR,woodR,woodR,neck,neck,neck,Lead,Lead,Lead,Lag,Lag,Lag
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,698.60400390625,449.38922119140625,0.9999986886978149,996.4094848632812,458.26788330078125,0.9999964237213135,968.6270141601562,534.4661254882812,0.9999923706054688,975.291015625,575.1392822265625,0.9999345541000366,955.5641479492188,542.8861083984375,0.001742264605127275
1,698.60400390625,449.4150695800781,0.9999986886978149,996.509765625,458.2925109863281,0.9999959468841553,968.6270141601562,535.4236450195312,0.9998949766159058,975.77734375,575.9384765625,0.999968409538269,969.0811157226562,576.2958984375,0.0011844057589769363
2,698.6730346679688,449.4285888671875,0.9999986886978149,996.509765625,458.3255615234375,0.9999948740005493,968.6270141601562,536.282470703125,0.9999549388885498,975.922607421875,576.1044311523438,0.99993896484375,969.9951782226562,576.965576171875,0.000928250839933753
3,698.6730346679688,449.4656066894531,0.9999986886978149,996.5001831054688,458.4602966308594,0.9999939203262329,967.869873046875,537.1590576171875,0.9999438524246216,976.2948608398438,576.3474731445312,0.9998588562011719,969.9951782226562,576.965576171875,0.0016751796938478947
4,698.7545776367188,449.4658508300781,0.9999988079071045,996.5281982421875,458.54937744140625,0.9999932050704956,967.345458984375,538.1268920898438,0.9999885559082031,976.2948608398438,576.43994140625,0.9998810291290283,970.204345703125,576.9591674804688,0.004573414567857981
5,698.7545776367188,449.4764099121094,0.9999988079071045,996.5001831054688,458.54937744140625,0.9999905824661255,966.2576904296875,538.6447143554688,0.9999963045120239,976.2948608398438,576.5654296875,0.9998774528503418,970.3353881835938,576.9591674804688,0.020405525341629982
6,698.7545776367188,449.48907470703125,0.9999986886978149,996.4461059570312,458.54937744140625,0.9999866485595703,964.5932006835938,538.6447143554688,0.9999964237213135,976.2948608398438,576.5654296875,0.9996800422668457,970.3353881835938,576.4407348632812,0.0705995187163353
7,698.6720581054688,449.5252990722656,0.9999988079071045,996.2923583984375,458.5210266113281,0.9999852180480957,962.327880859375,538.6447143554688,0.9999973773956299,975.365478515625,576.5654296875,0.9981677532196045,970.3353881835938,576.2679443359375,0.16896596550941467
