scorer,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000
bodyparts,woodL,woodL,woodL,woodR,woodR,woodR,neck,neck,neck,Lead,Lead,Lead,Lag,Lag,Lag
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,710.2282104492188,448.52972412109375,0.9999996423721313,1006.9595336914062,457.8311767578125,0.9999785423278809,470.6847229003906,504.5966491699219,0.9999755620956421,451.49212646484375,562.8876342773438,0.9902266263961792,461.1455993652344,561.802978515625,0.7969920039176941
1,710.313720703125,448.5420837402344,0.9999996423721313,1007.0797119140625,457.8398132324219,0.9999768733978271,470.6847229003906,504.5966491699219,0.9999881982803345,451.6283264160156,562.8876342773438,0.9982255101203918,462.2303771972656,562.3714599609375,0.6454538106918335
2,710.361572265625,448.5451965332031,0.9999997615814209,1007.0833740234375,457.84228515625,0.9999754428863525,470.6847229003906,504.5966491699219,0.9999920129776001,451.67236328125,562.8876342773438,0.9977394342422485,462.4203186035156,562.3714599609375,0.39396846294403076
3,710.361572265625,448.5420837402344,0.9999997615814209,1007.0833740234375,457.8439025878906,0.9999778270721436,469.55157470703125,504.3312072753906,0.9999970197677612,451.6283264160156,562.7960815429688,0.9953428506851196,463.9432678222656,561.802978515625,0.3143434524536133
4,710.313720703125,448.5420837402344,0.9999996423721313,1007.0863037109375,457.8439025878906,0.9999806880950928,468.66522216796875,503.8784484863281,0.9999983310699463,451.49212646484375,562.7960815429688,0.9962467551231384,464.16937255859375,561.802978515625,0.32314160466194153
5,710.313720703125,448.5165710449219,0.9999996423721313,1007.0863037109375,457.844970703125,0.9999802112579346,467.7208251953125,503.5121154785156,0.9999988079071045,451.4715270996094,562.7960815429688,0.9977205395698547,489.81488037109375,563.6731567382812,0.39837175607681274
6,710.31787109375,448.5165710449219,0.9999996423721313,1007.0889892578125,457.844970703125,0.9999779462814331,466.496337890625,502.62701416015625,0.9999994039535522,450.6231994628906,562.8944091796875,0.999007523059845,489.81488037109375,563.6358642578125,0.44784852862358093
7,710.31787109375,448.49798583984375,0.9999997615814209,1007.0889892578125,457.844970703125,0.9999738931655884,465.7308654785156,502.2035217285156,0.9999994039535522,449.89923095703125,563.0047607421875,0.999422550201416,490.6191101074219,563.6358642578125,0.6357171535491943
