scorer,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000
bodyparts,woodL,woodL,woodL,woodR,woodR,woodR,neck,neck,neck,Lead,Lead,Lead,Lag,Lag,Lag
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,710.0879516601562,447.91119384765625,0.9999991655349731,1006.96923828125,457.86383056640625,0.999980092048645,409.347412109375,508.0722961425781,0.9999346733093262,401.4815368652344,559.8419189453125,0.9999992847442627,441.943115234375,559.9603881835938,0.9999963045120239
1,710.1033935546875,447.9131164550781,0.9999991655349731,1006.96923828125,457.88165283203125,0.9999779462814331,409.3518981933594,508.18060302734375,0.9999327659606934,401.5395202636719,559.8699951171875,0.9999992847442627,442.02099609375,560.0176391601562,0.9999963045120239
2,710.2154541015625,447.9131164550781,0.9999991655349731,1007.1058959960938,457.88165283203125,0.9999762773513794,409.4083251953125,508.18701171875,0.9999352693557739,401.6075439453125,559.8817749023438,0.9999994039535522,442.0274353027344,560.0176391601562,0.9999959468841553
3,710.2154541015625,447.9131164550781,0.9999991655349731,1007.1058959960938,457.88165283203125,0.9999748468399048,409.41778564453125,508.1883239746094,0.9999344348907471,401.6075439453125,559.8817749023438,0.9999994039535522,442.0274353027344,560.0170288085938,0.9999960660934448
4,710.1742553710938,447.91119384765625,0.9999991655349731,1006.9786376953125,457.85516357421875,0.9999804496765137,409.4686584472656,508.2615661621094,0.9999353885650635,401.5484924316406,559.93505859375,0.9999992847442627,441.9990234375,560.0170288085938,0.9999960660934448
5,710.1742553710938,447.91595458984375,0.9999991655349731,1006.9786376953125,457.85516357421875,0.999980092048645,409.4686584472656,508.2615661621094,0.9999363422393799,401.5484924316406,559.93505859375,0.9999994039535522,441.9990234375,559.9952392578125,0.9999954700469971
6,710.2103271484375,447.91595458984375,0.9999991655349731,1007.0665893554688,457.85516357421875,0.9999755620956421,409.5333557128906,508.1941833496094,0.9999362230300903,401.59326171875,559.93505859375,0.9999994039535522,441.90814208984375,559.94921875,0.9999958276748657
7,710.2103271484375,447.9464111328125,0.9999992847442627,1007.0665893554688,457.85516357421875,0.999974250793457,409.5333557128906,508.1941833496094,0.9999353885650635,401.59326171875,559.93505859375,0.9999994039535522,441.8466796875,559.9395141601562,0.999995231628418
