scorer,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000
bodyparts,woodL,woodL,woodL,woodR,woodR,woodR,neck,neck,neck,Lead,Lead,Lead,Lag,Lag,Lag
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,739.9668579101562,455.06329345703125,0.9999997615814209,1037.5196533203125,464.5348815917969,0.999993085861206,486.6702880859375,533.9300537109375,0.998410701751709,493.2063293457031,571.3357543945312,0.9999814033508301,544.448486328125,570.6905517578125,0.999995231628418
1,739.9668579101562,455.06329345703125,0.9999997615814209,1037.5196533203125,464.55450439453125,0.999992847442627,486.6702880859375,533.9300537109375,0.9996503591537476,493.9469299316406,571.3357543945312,0.9999918937683105,544.6819458007812,570.8739013671875,0.9999877214431763
2,739.9668579101562,455.0811767578125,0.9999997615814209,1037.5196533203125,464.601806640625,0.9999934434890747,486.6702880859375,533.9300537109375,0.9998350143432617,494.3046569824219,571.3357543945312,0.999993085861206,544.7354125976562,571.3450317382812,0.9999895095825195
3,739.9668579101562,455.0811767578125,0.9999997615814209,1037.449462890625,464.601806640625,0.9999935626983643,486.0645751953125,533.8807983398438,0.9998817443847656,494.4554443359375,570.9244384765625,0.9999938011169434,544.6819458007812,571.4274291992188,0.9999774694442749
4,739.9668579101562,455.0811767578125,0.9999997615814209,1037.449462890625,464.601806640625,0.9999935626983643,485.5845947265625,533.7128295898438,0.9998917579650879,494.5047607421875,570.7557373046875,0.9999933242797852,544.6819458007812,571.4274291992188,0.9999366998672485
5,740.0043334960938,455.0977783203125,0.9999997615814209,1037.449462890625,464.5807189941406,0.9999933242797852,485.1224670410156,533.51171875,0.9998462200164795,494.5047607421875,570.5033569335938,0.9999933242797852,544.0038452148438,571.4274291992188,0.9998397827148438
6,740.0121459960938,455.11114501953125,0.9999997615814209,1037.4857177734375,464.5807189941406,0.9999929666519165,484.6492004394531,533.19775390625,0.9997571110725403,494.5047607421875,570.2931518554688,0.9999927282333374,543.705078125,570.6027221679688,0.9997701048851013
7,740.065673828125,455.1352844238281,0.9999997615814209,1037.4947509765625,464.5807189941406,0.9999932050704956,484.6492004394531,533.0199584960938,0.9998190999031067,494.0815734863281,570.197265625,0.9999918937683105,540.1122436523438,570.4137573242188,0.9998886585235596
