scorer,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000
bodyparts,woodL,woodL,woodL,woodR,woodR,woodR,neck,neck,neck,Lead,Lead,Lead,Lag,Lag,Lag
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,698.8629760742188,449.33734130859375,0.9999983310699463,995.5018310546875,458.1332092285156,0.9999988079071045,819.5093383789062,528.4874267578125,0.018593301996588707,855.1452026367188,573.1158447265625,0.009030953980982304,853.1508178710938,573.5370483398438,0.9999986886978149
1,698.87353515625,449.3373718261719,0.9999983310699463,995.5018310546875,458.1332092285156,0.9999988079071045,819.5093383789062,528.4874267578125,0.01721581071615219,855.1452026367188,573.1319580078125,0.008804727345705032,853.1508178710938,573.5485229492188,0.9999986886978149
2,698.87353515625,449.34405517578125,0.9999983310699463,995.5018310546875,458.1332092285156,0.9999986886978149,819.5093383789062,528.4874267578125,0.04998841509222984,855.1452026367188,573.1319580078125,0.008918853476643562,853.1508178710938,573.5485229492188,0.999998927116394
3,698.931396484375,449.360595703125,0.9999983310699463,995.4728393554688,457.965087890625,0.9999988079071045,818.3720092773438,528.3281860351562,0.12679524719715118,854.9851684570312,573.1480102539062,0.009988189674913883,852.7598876953125,573.5370483398438,0.9999990463256836
4,698.931396484375,449.3617858886719,0.9999983310699463,995.4728393554688,457.965087890625,0.999998927116394,817.17041015625,528.0221557617188,0.21227845549583435,854.6666259765625,573.1618041992188,0.010252583771944046,852.3460693359375,573.4866943359375,0.9999991655349731
5,698.9259643554688,449.3617858886719,0.9999983310699463,995.4671020507812,457.965087890625,0.9999988079071045,815.8944091796875,527.7698974609375,0.2397242933511734,854.3772583007812,573.2450561523438,0.012363296933472157,851.9605712890625,573.4168701171875,0.9999991655349731
6,698.931396484375,449.3617858886719,0.9999983310699463,995.4671020507812,458.0377502441406,0.9999986886978149,808.8051147460938,523.4691162109375,0.49035730957984924,853.9025268554688,573.2450561523438,0.016121840104460716,851.3672485351562,573.3871459960938,0.9999991655349731
7,698.931396484375,449.34814453125,0.9999982118606567,995.4208984375,458.0886535644531,0.9999988079071045,808.485107421875,523.4185180664062,0.8703793883323669,853.275634765625,573.2450561523438,0.01533001009374857,850.3211059570312,573.3545532226562,0.9999991655349731
