scorer,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000
bodyparts,woodL,woodL,woodL,woodR,woodR,woodR,neck,neck,neck,Lead,Lead,Lead,Lag,Lag,Lag
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,630.176025390625,483.8465881347656,0.9999997615814209,923.92333984375,484.5562438964844,0.9999984502792358,495.8744201660156,571.7192993164062,0.99979168176651,474.4760437011719,604.956298828125,0.998920202255249,525.9287719726562,604.87158203125,0.9913002848625183
1,630.176025390625,483.8541564941406,0.9999997615814209,923.92333984375,484.64166259765625,0.9999984502792358,495.98480224609375,571.7496948242188,0.9998182654380798,474.4760437011719,604.956298828125,0.9990087151527405,525.9287719726562,604.87158203125,0.9918695688247681
2,630.1897583007812,483.9515686035156,0.9999997615814209,923.92333984375,484.6439208984375,0.9999984502792358,495.98480224609375,571.7496948242188,0.999829888343811,474.4760437011719,604.956298828125,0.9992030262947083,525.9287719726562,604.9002685546875,0.9926601052284241
3,630.176025390625,483.94561767578125,0.9999997615814209,923.759521484375,484.6439208984375,0.9999985694885254,495.98480224609375,571.7345581054688,0.9998337030410767,474.2702941894531,604.84130859375,0.9994481205940247,525.9219360351562,604.87158203125,0.9927443265914917
4,630.176025390625,483.94561767578125,0.9999997615814209,923.676025390625,484.7390441894531,0.9999984502792358,495.8822021484375,571.7192993164062,0.9998270869255066,474.2291564941406,604.7684326171875,0.9995861649513245,525.9219360351562,604.87158203125,0.9941778182983398
5,630.1917114257812,483.94561767578125,0.9999997615814209,923.64599609375,484.8109436035156,0.9999984502792358,495.5665283203125,571.7132568359375,0.9998162388801575,474.16217041015625,604.6795654296875,0.9995290040969849,525.9219360351562,604.8677978515625,0.9952715039253235
6,630.1917724609375,483.94561767578125,0.9999997615814209,923.6275024414062,484.845947265625,0.9999984502792358,495.5665283203125,571.6743774414062,0.9998338222503662,474.16217041015625,604.504150390625,0.9994750618934631,526.1648559570312,604.8777465820312,0.9968034029006958
7,630.1917724609375,483.94561767578125,0.9999997615814209,923.5247192382812,484.87603759765625,0.9999984502792358,495.5665283203125,571.5704956054688,0.9997866749763489,474.16217041015625,604.1885375976562,0.9996222257614136,526.2197265625,604.8777465820312,0.997822642326355
