scorer,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000
bodyparts,woodL,woodL,woodL,woodR,woodR,woodR,neck,neck,neck,Lead,Lead,Lead,Lag,Lag,Lag
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,710.1449584960938,447.8768005371094,0.9999991655349731,1008.0963134765625,456.85687255859375,0.9999887943267822,1006.4889526367188,518.5554809570312,0.9999934434890747,1013.1967163085938,573.7930908203125,0.9368956685066223,1013.8551025390625,574.03515625,0.98868328332901
9,710.14111328125,447.8768005371094,0.9999991655349731,1007.823486328125,456.92608642578125,0.9999885559082031,1005.9767456054688,518.2249145507812,0.9999933242797852,1013.1967163085938,573.9468994140625,0.9038594961166382,1013.845458984375,573.9947509765625,0.991258442401886
10,710.1449584960938,447.87628173828125,0.9999991655349731,1007.3458251953125,457.0408020019531,0.9999867677688599,1005.5889892578125,517.3101196289062,0.9999951124191284,1013.1967163085938,573.9468994140625,0.8575035333633423,1013.7777099609375,574.03515625,0.9946966171264648
11,710.1522216796875,447.87628173828125,0.9999991655349731,1006.6770629882812,457.18829345703125,0.9999758005142212,1004.6672973632812,514.6019897460938,0.9999961853027344,1012.4353637695312,573.9468994140625,0.8264297246932983,1012.9295043945312,574.0401611328125,0.9970213770866394
12,710.1522216796875,447.87628173828125,0.9999991655349731,1006.637451171875,457.28692626953125,0.9999629259109497,1002.64794921875,513.0360717773438,0.9999948740005493,973.57763671875,566.617919921875,0.9713448286056519,1012.4989013671875,574.0706787109375,0.9984782338142395
13,710.1522216796875,447.8437805175781,0.9999991655349731,1006.637451171875,457.3415832519531,0.9999637603759766,1000.5328979492188,513.0235595703125,0.9999915361404419,972.5880126953125,566.617919921875,0.9834288954734802,1012.2322998046875,574.200927734375,0.9979252815246582
14,710.1522216796875,447.8437805175781,0.9999990463256836,1006.6770629882812,457.3857116699219,0.999962568283081,997.7635498046875,513.0235595703125,0.9999977350234985,971.2973022460938,566.617919921875,0.9923281073570251,1011.8211669921875,574.5577392578125,0.9987163543701172
15,710.1057739257812,447.8437805175781,0.9999991655349731,1006.6903076171875,457.39208984375,0.9999696016311646,994.9034423828125,512.882080078125,0.999997615814209,970.2492065429688,566.9820556640625,0.9976581335067749,1011.481689453125,574.8638305664062,0.9988246560096741
16,710.1057739257812,447.8758544921875,0.9999991655349731,1006.7525634765625,457.5026550292969,0.9999706745147705,992.4663696289062,512.81103515625,0.999993085861206,969.389892578125,567.5429077148438,0.9991164803504944,1011.4349975585938,574.8638305664062,0.9994739890098572
17,710.1057739257812,447.8934326171875,0.9999992847442627,1006.9508056640625,457.5522155761719,0.9999785423278809,991.0173950195312,512.373779296875,0.9999691247940063,968.6221313476562,567.8404541015625,0.9993632435798645,1010.9353637695312,574.8638305664062,0.999722421169281
