scorer,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000
bodyparts,woodL,woodL,woodL,woodR,woodR,woodR,neck,neck,neck,Lead,Lead,Lead,Lag,Lag,Lag
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,740.268798828125,455.2077941894531,0.9999997615814209,1037.621337890625,464.4441833496094,0.9999936819076538,1000.4271850585938,547.5520629882812,0.990009605884552,985.4727783203125,582.51806640625,0.9646235108375549,733.00341796875,455.58648681640625,0.0013141456292942166
1,740.31640625,455.2547302246094,0.9999997615814209,1037.6265869140625,464.45635986328125,0.9999939203262329,1000.5382690429688,547.636962890625,0.9962760210037231,985.4727783203125,582.86767578125,0.945094108581543,733.026123046875,455.5901184082031,0.0012643105583265424
2,740.4237670898438,455.316650390625,0.9999997615814209,1037.6951904296875,464.4620361328125,0.9999939203262329,1000.5382690429688,548.3047485351562,0.9973798394203186,985.4727783203125,582.86767578125,0.9483053088188171,733.05615234375,455.6067199707031,0.0012314356863498688
3,740.4237670898438,455.316650390625,0.9999997615814209,1037.6964111328125,464.4697265625,0.9999939203262329,1000.4271850585938,548.834716796875,0.9991315007209778,985.1522216796875,582.86767578125,0.9410306811332703,733.05615234375,455.6067199707031,0.0012326251016929746
4,740.4237670898438,455.316650390625,0.9999997615814209,1037.7275390625,464.4697265625,0.9999939203262329,999.474609375,549.8486328125,0.9998082518577576,985.0775146484375,582.797607421875,0.9363155961036682,733.05615234375,455.6067199707031,0.0012140261242166162
5,740.389404296875,455.2928466796875,0.9999997615814209,1037.7275390625,464.4697265625,0.999994158744812,999.043701171875,551.372802734375,0.9999183416366577,985.0775146484375,582.738037109375,0.9722368121147156,733.0411987304688,455.59942626953125,0.0012429457856342196
6,740.389404296875,455.2928466796875,0.9999997615814209,1037.7333984375,464.4697265625,0.999994158744812,997.9575805664062,551.372802734375,0.9999319314956665,985.05419921875,582.738037109375,0.9806807637214661,733.0411987304688,455.59942626953125,0.0012544689234346151
7,740.3197631835938,455.2872314453125,0.9999997615814209,1037.7276611328125,464.4385986328125,0.9999940395355225,997.3128051757812,551.372802734375,0.999931812286377,985.0326538085938,582.763671875,0.9772739410400391,733.0411987304688,455.59942626953125,0.0012288462603464723
