scorer,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000
bodyparts,limb,limb,limb,Wing,Wing,Wing,WingBase,WingBase,WingBase,TailTip,TailTip,TailTip,Eye,Eye,Eye,LWood,LWood,LWood,RWood,RWood,RWood,sub1,sub1,sub1,sub2,sub2,sub2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,751.07763671875,797.311279296875,0.9941356182098389,636.609619140625,657.9876098632812,0.9999332427978516,774.1837158203125,722.5726318359375,0.9999397993087769,814.2890625,787.0888671875,0.9999831914901733,585.6549682617188,633.75634765625,0.9999715089797974,574.1165161132812,466.3443603515625,0.9999889135360718,761.6892700195312,453.28631591796875,0.9999816417694092,208.25759887695312,587.487060546875,0.9999626874923706,777.408935546875,826.0171508789062,0.17050334811210632
9,740.8535766601562,755.400634765625,0.13055919110774994,627.4158935546875,655.0842895507812,0.9999622106552124,768.1397094726562,713.2024536132812,0.99981290102005,805.478515625,780.6878051757812,0.9999639987945557,577.783447265625,631.6593627929688,0.9999966621398926,574.1165161132812,466.29022216796875,0.9999884366989136,761.688232421875,453.221923828125,0.9999810457229614,208.25759887695312,587.487060546875,0.9999650716781616,781.9884033203125,828.2669067382812,0.3209455907344818
10,717.4869995117188,739.993896484375,0.02257309854030609,620.23779296875,654.5497436523438,0.999739944934845,761.07666015625,709.3004150390625,0.999967098236084,792.8215942382812,775.4908447265625,0.9999150037765503,569.9342041015625,629.0541381835938,0.9999923706054688,574.1165161132812,466.29022216796875,0.9999880790710449,761.688232421875,453.221923828125,0.9999793767929077,208.25759887695312,587.4564819335938,0.9999619722366333,781.9884033203125,828.2669067382812,0.9566999077796936
11,712.7952880859375,729.134033203125,0.1874636709690094,613.2007446289062,650.4614868164062,0.9999133348464966,753.5746459960938,705.21044921875,0.99980229139328,782.5098266601562,775.4908447265625,0.9999622106552124,562.435302734375,626.20703125,0.999998927116394,574.1049194335938,466.3330383300781,0.999988317489624,761.67333984375,453.3681640625,0.9999791383743286,208.17398071289062,587.3738403320312,0.9999619722366333,781.9884033203125,828.2669067382812,0.9930804371833801
12,688.4496459960938,729.134033203125,0.9403486847877502,605.4189453125,648.7800903320312,0.9997753500938416,743.4700927734375,702.4652099609375,0.9994650483131409,774.5675659179688,775.3162231445312,0.9999774694442749,555.6825561523438,623.943359375,0.9999904632568359,574.1049194335938,466.3330383300781,0.9999881982803345,761.67333984375,453.3681640625,0.9999792575836182,208.173095703125,587.3738403320312,0.9999611377716064,780.5225219726562,827.5171508789062,0.9988213181495667
13,667.8946533203125,721.255615234375,0.975186824798584,598.8811645507812,646.1571044921875,0.9999510049819946,736.395751953125,700.2119750976562,0.9998282194137573,766.9877319335938,774.6280517578125,0.9999521970748901,548.2981567382812,622.197509765625,0.9999960660934448,574.1049194335938,466.3330383300781,0.9999884366989136,761.67333984375,453.3681640625,0.9999798536300659,208.173095703125,587.2686157226562,0.99996018409729,779.9717407226562,827.3246459960938,0.9994397759437561
14,644.1865234375,720.6358642578125,0.9999603033065796,591.7051391601562,643.5401611328125,0.999975323677063,729.68505859375,694.2389526367188,0.999910831451416,761.4439086914062,773.0860595703125,0.9999785423278809,541.3348388671875,620.3234252929688,0.9999659061431885,574.1353759765625,466.3330383300781,0.9999880790710449,761.8077392578125,453.3681640625,0.9999805688858032,208.173095703125,587.3038940429688,0.9999608993530273,779.9717407226562,827.3246459960938,0.9992918968200684
15,624.581787109375,719.8450927734375,0.9998737573623657,585.8328857421875,639.8289794921875,0.9998419284820557,719.171142578125,692.5389404296875,0.9996598958969116,759.2957153320312,771.6284790039062,0.9999818801879883,533.6507568359375,616.6204223632812,0.9999959468841553,574.1525268554688,466.3330383300781,0.9999878406524658,761.8077392578125,453.3681640625,0.9999812841415405,208.26412963867188,587.3738403320312,0.999962329864502,779.9717407226562,827.3246459960938,0.999384880065918
16,608.9676513671875,719.4945068359375,0.9997708201408386,578.6256103515625,637.086669921875,0.9998908042907715,708.8255004882812,691.1177978515625,0.9985596537590027,753.2138671875,766.1779174804688,0.999937891960144,526.9083862304688,613.4614868164062,0.9999898672103882,574.1525268554688,466.408935546875,0.9999872446060181,761.8077392578125,453.35107421875,0.9999802112579346,208.26412963867188,587.3038940429688,0.9999631643295288,780.5311279296875,827.7736206054688,0.9994145631790161
17,588.5750732421875,713.0066528320312,0.9992042183876038,573.0946044921875,633.568115234375,0.9993929862976074,702.197998046875,690.7758178710938,0.9667845964431763,747.1211547851562,757.349853515625,0.9999531507492065,519.3555908203125,609.751708984375,0.9999982118606567,574.1353759765625,466.408935546875,0.9999877214431763,761.6549682617188,453.35107421875,0.9999798536300659,208.26412963867188,587.3038940429688,0.9999624490737915,780.755126953125,827.9044189453125,0.9994398951530457
